outcode,Total households,One Person household,Single family Household,Other household type
PO36,8050,2751,4850,449
PO37,4188,1612,2346,230
PO38,5628,2046,3321,261
PO39,1601,565,961,75
PO4,18123,5865,10066,2192
PO40,2351,854,1411,86
PO41,832,314,490,28
PO5,11781,4977,5210,1594
PO6,17147,4378,11536,1233
PO7,18973,5428,12552,993
PO8,14587,3693,10201,693
PO9,20933,5947,13781,1205
PR0,182,82,87,13
PR1,31232,10601,18115,2516
PR11,121,27,90,4
PR2,32778,10526,20485,1767
PR25,15843,4742,10518,583
PR26,5057,1319,3524,214
PR3,17280,4825,11846,609
PR4,26532,7001,18485,1046
PR5,17262,5435,11173,654
PR6,16203,4800,10803,600
PR7,26195,7770,17513,912
PR8,25212,8378,15487,1347
PR9,19449,7171,11436,842
RG1,21471,7045,11068,3358
RG10,8233,2032,5846,355
RG11,31329,7546,22279,1504
RG12,34547,9481,22836,2230
RG13,17829,5306,11504,1019
RG14,12214,3597,7993,624
RG15,7170,1692,5115,363
RG16,7668,1744,5498,426
RG17,3242,1079,2034,129
RG18,353,47,298,8
RG19,596,118,444,34
RG2,17148,4119,11095,1934
RG21,14047,4656,8300,1091
RG22,17166,4374,11786,1006
RG23,5321,1243,3791,287
RG24,16422,4190,11300,932
RG25,6479,1706,4540,233
RG26,9627,2467,6723,437
RG27,8889,2231,6323,335
RG28,2879,743,2029,107
RG3,31191,8163,20517,2511
RG30,211,68,121,22
RG31,143,12,120,11
RG4,16914,4165,11699,1050
RG40,863,185,644,34
RG41,351,41,293,17
RG42,1659,472,1125,62
RG5,11072,2701,7706,665
RG6,13032,2981,8930,1121
RG7,12335,3180,8619,536
RG8,6409,1517,4629,263
RG9,8952,2714,5791,447
RH1,21988,6132,14475,1381
RH10,31070,7764,20627,2679
RH11,21450,5377,13835,2238
RH12,22839,6631,15169,1039
RH13,16150,4268,11160,722
RH14,6702,1701,4725,276
RH15,14425,3872,9858,695
RH16,17198,5053,11382,763
RH17,6883,1742,4808,333
RH18,2364,685,1504,175
RH19,14395,4076,9626,693
RH2,9748,2651,6673,424
RH20,11186,3022,7694,470
RH3,1940,556,1300,84
RH4,7672,2534,4785,353
RH5,5545,1568,3706,271
RH6,13859,3636,9320,903
RH7,3632,975,2460,197
RH8,6135,1590,4268,277
RH9,1832,509,1219,104
RM1,12012,3451,7543,1018
RM10,16022,4065,9944,2013
RM11,13905,3358,9511,1036
RM12,13720,3483,9293,944
RM13,11965,3008,7853,1104
RM14,10505,2472,7504,529
RM15,12040,3146,7850,1044
RM16,22442,5260,15267,1915
RM17,10786,2857,6852,1077
RM18,6907,1515,4711,681
RM19,252,72,161,19
RM2,4966,1334,3328,304
RM3,17996,4999,11447,1550
RM4,1446,362,973,111
RM5,8064,1814,5582,668
RM6,12442,2865,7913,1664
RM7,10334,2709,6559,1066
RM8,16030,3605,10355,2070
RM9,12463,2745,8047,1671
S1,7616,3533,3025,1058
S10,19463,6127,10573,2763
S11,14745,4236,8860,1649
S12,16692,5196,10964,532
S13,14004,4487,9028,489
S14,4529,1771,2564,194
S17,7168,2149,4842,177
S18,11076,3369,7411,296
S19,12950,3908,8627,415
S2,17435,6030,9915,1490
S20,489,110,368,11
S21,8672,2647,5727,298
S25,9443,2656,6463,324
S26,11028,2952,7747,329
S3,6380,2920,2802,658
S30,35538,10152,24303,1083
S35,884,324,504,56
S36,206,43,157,6
S4,4909,1612,2788,509
S40,19653,7334,11713,606
S41,15737,5494,9733,510
S42,13332,4102,8819,411
S43,17830,5652,11588,590
S44,9209,2937,5967,305
S45,5691,2035,3474,182
S5,24544,7601,15589,1354
S6,24424,8364,14890,1170
S60,19387,5684,12647,1056
S61,15176,5087,9506,583
S62,10076,3153,6558,365
S63,18549,5496,12314,739
S64,12672,4136,8073,463
S65,13723,4443,8514,766
S66,18913,5562,12712,639
S7,5833,1754,3394,685
S70,20488,7271,12189,1028
S71,21010,6287,13869,854
S72,11476,3346,7646,484
S73,12404,3703,8155,546
S74,7514,2407,4844,263
S75,18945,5577,12804,564
S8,19027,6533,11740,754
S80,13418,4382,8407,629
S81,15830,4394,10893,543
S9,9985,2974,6125,886
SA1,24880,10437,12258,2185
SA10,14160,4303,9347,510
SA11,15947,5606,9774,567
SA12,14863,4943,9263,657
SA13,7426,2451,4632,343
SA14,16807,4751,11309,747
SA15,15740,5258,9743,739
SA16,3846,1221,2454,171
SA17,4024,1187,2626,211
SA18,13351,4146,8595,610
SA19,4772,1480,3033,259
SA2,15341,5009,9188,1144
SA20,1207,432,711,64
SA3,11284,3815,7075,394
SA31,8834,3165,5312,357
SA32,2292,571,1584,137
SA33,5482,1505,3672,305
SA34,2496,700,1627,169
SA35,614,194,380,40
SA37,1133,325,744,64
SA38,2204,678,1400,126
SA39,1438,432,924,82
SA4,19659,5981,12917,761
SA40,1542,491,956,95
SA41,764,243,481,40
SA42,1253,471,713,69
SA43,5462,1981,3245,236
SA44,4609,1409,2964,236
SA45,560,212,322,26
SA46,1497,537,888,72
SA47,81,33,47,1
SA48,3451,1087,2159,205
SA5,15743,5185,9898,660
SA6,14153,4655,8905,593
SA61,7225,2592,4329,304
SA62,9675,2806,6410,459
SA63,326,73,230,23
SA64,932,331,564,37
SA65,1685,639,983,63
SA66,1552,492,969,91
SA67,2635,837,1665,133
SA68,2216,668,1447,101
SA69,1758,602,1079,77
SA7,5649,1539,3893,217
SA70,3464,1270,2030,164
SA71,5307,1799,3331,177
SA72,4222,1578,2473,171
SA73,8963,3119,5542,302
SA8,5353,1601,3549,203
SA9,6389,2212,3976,201
SE1,37840,14326,17374,6140
SE10,18817,5908,10862,2047
SE11,10192,3750,4810,1632
SE12,12935,3714,7972,1249
SE13,20110,6536,11175,2399
SE14,12973,3859,6841,2273
SE15,27909,8866,14873,4170
SE16,22908,7633,11736,3539
SE17,13808,4629,6747,2432
SE18,34655,10696,19543,4416
SE19,14093,4784,8165,1144
SE2,9039,2363,5493,1183
SE20,10954,3856,6300,798
SE21,7791,2045,5008,738
SE22,12346,3542,7409,1395
SE23,15499,4477,9367,1655
SE24,8933,2591,5013,1329
SE25,14153,4665,8161,1327
SE26,12053,3852,7107,1094
SE27,8402,2613,4859,930
SE28,10411,2891,6260,1260
SE3,14635,4657,8764,1214
SE4,10390,2898,6053,1439
SE5,19343,6312,9781,3250
SE6,20228,6228,11622,2378
SE7,7714,2138,4546,1030
SE8,11151,3715,5828,1608
SE9,24657,7060,15449,2148
SG1,23057,6916,14602,1539
SG10,1248,315,872,61
SG11,3396,803,2465,128
SG12,12731,3908,8345,478
SG13,7252,2054,4885,313
SG14,8642,2658,5667,317
SG15,2688,781,1805,102
SG16,3073,793,2167,113
SG17,5759,1435,4078,246
SG18,12962,3333,9049,580
SG19,10226,2699,7107,420
SG2,17199,4421,11729,1049
SG3,2683,803,1794,86
SG4,13046,3932,8584,530
SG5,13406,3800,9093,513
SG6,14516,4619,9217,680
SG7,6216,1958,4019,239
SG8,16584,4341,11599,644
SG9,4947,1116,3635,196
SK1,7962,3380,4223,359
SK10,20148,6495,13038,615
SK11,15511,5276,9686,549
SK12,22697,6642,15368,687
SK13,15084,4731,9819,534
SK14,21865,6875,13939,1051
SK15,12302,3839,7951,512
SK16,8009,2673,4992,344
SK17,13127,4348,8236,543
SK2,13101,3938,8553,610
SK22,153,76,74,3
SK23,80,16,61,3
SK3,12220,3879,7743,598
SK4,15229,5036,9476,717
SK5,13190,4643,7921,626
SK6,21552,6667,14140,745
SK7,17327,4594,12113,620
SK8,23888,6734,15886,1268
SK9,17255,5561,11094,600
SL0,4963,1301,3195,467
SL1,29517,7216,18575,3726
SL2,18620,4182,12098,2340
SL3,16830,3961,10859,2010
SL4,18596,5713,11698,1185
SL5,9116,2451,6192,473
SL6,31945,8230,21460,2255
SL7,8325,2294,5709,322
SL8,2821,853,1853,115
SL9,8484,2021,5919,544
SM1,19525,5463,12561,1501
SM2,12085,3837,7461,787
SM3,7404,1674,5146,584
SM4,14591,3298,9496,1797
SM5,15369,3667,10623,1079
SM6,14013,4153,8892,968
SM7,6590,1724,4555,311
SN1,15746,5060,8801,1885
SN10,14575,4442,9580,553
SN11,11478,3050,7997,431
SN12,12193,3407,8255,531
SN13,8033,2314,5422,297
SN14,12061,3008,8526,527
SN15,13222,3758,8880,584
SN16,6079,1661,4142,276
SN17,119,20,91,8
SN2,28741,8021,18896,1824
SN25,8179,1892,5822,465
SN3,22748,6446,14937,1365
SN38,413,119,258,36
SN4,11682,3176,8030,476
SN5,14086,3870,9553,663
SN6,9167,2523,6282,362
SN7,5994,1679,4090,225
SN8,10325,3038,6883,404
SN9,3371,1014,2224,133
SO1,50140,16800,28646,4694
SO14,5370,1809,2381,1180
SO15,399,158,206,35
SO16,4821,1270,2825,726
SO17,6275,2201,2804,1270
SO18,17289,5473,10840,976
SO19,24420,7706,15287,1427
SO20,4031,982,2839,210
SO21,9786,2288,7055,443
SO22,12053,3077,7898,1078
SO23,8832,3339,4962,531
SO24,4118,1203,2740,175
SO3,39280,10506,27068,1706
SO30,1291,263,961,67
SO31,627,105,495,27
SO32,495,60,415,20
SO4,50223,14522,33338,2363
SO40,274,50,200,24
SO41,392,178,205,9
SO45,77,34,42,1
SO5,46348,12497,31597,2254
SO50,763,176,542,45
SO51,1230,320,879,31
SO53,1192,181,965,46
SP1,10579,3617,6337,625
SP10,17995,5235,11669,1091
SP11,12691,2984,9008,699
SP2,13725,4385,8551,789
SP3,5514,1593,3677,244
SP4,14283,3246,10323,714
SP5,9101,2209,6481,411
SP6,5762,1578,3932,252
SP7,6366,1984,4119,263
SP8,6245,1936,4066,243
SP9,3580,593,2766,221
SR1,4955,2428,2215,312
SR2,14445,4987,8762,696
SR3,16380,5316,10524,540
SR4,16522,5466,10306,750
SR5,15308,5274,9546,488
SR6,12541,4188,8026,327
SR7,13567,4492,8635,440
SR8,15674,5421,9758,495
SS0,20975,7502,12138,1335
SS1,13468,4774,7917,777
SS11,8028,2105,5524,399
SS12,7786,2092,5323,371
SS13,9963,3140,6180,643
SS14,11131,3162,7115,854
SS15,13952,4032,9079,841
SS16,12342,3426,8081,835
SS17,13030,3130,9096,804
SS2,15517,5085,9538,894
SS22,128,38,85,5
SS3,11539,3312,7670,557
SS4,9214,2697,6075,442
SS5,9185,2325,6474,386
SS6,13800,3498,9733,569
SS7,20571,5337,14261,973
SS8,16208,4761,10546,901
SS9,20560,6316,13396,848
ST1,15156,5423,8764,969
ST10,11566,3220,7892,454
ST11,4456,1183,3105,168
ST12,2552,705,1758,89
ST13,12267,4062,7796,409
ST14,8883,2464,6060,359
ST15,10467,3032,7077,358
ST16,15965,5407,9877,681
ST17,16545,4910,11018,617
ST18,7159,1741,5178,240
ST19,7014,1907,4885,222
ST2,15933,5029,10280,624
ST20,3444,889,2423,132
ST21,2319,673,1579,67
ST3,28864,8686,18906,1272
ST4,24648,8342,14606,1700
ST5,34904,11279,21793,1832
ST6,28311,9406,17627,1278
ST7,23987,6929,16229,829
ST8,8098,2460,5384,254
ST9,4004,1019,2869,116
SW10,8987,3917,4110,960
SW11,37175,11767,19284,6124
SW12,15025,4115,7867,3043
SW13,7375,2181,4688,506
SW14,6866,1859,4567,440
SW15,26763,8291,14825,3647
SW16,32079,8995,18066,5018
SW17,25840,7541,13515,4784
SW18,27095,7553,15890,3652
SW19,31921,8900,19547,3474
SW1A,895,456,350,89
SW1E,1311,609,553,149
SW1H,500,249,206,45
SW1P,6124,2733,2769,622
SW1V,10108,4554,4422,1132
SW1W,3655,1860,1554,241
SW1X,2676,1076,1273,327
SW1Y,165,87,52,26
SW2,23077,7164,11204,4709
SW20,10502,2685,6825,992
SW3,8880,4210,3793,877
SW4,17747,5537,8170,4040
SW5,7867,3893,3176,798
SW6,30086,10103,15497,4486
SW7,5873,2650,2653,570
SW8,15165,5197,7245,2723
SW9,17376,5710,8238,3428
SY1,12909,4256,7790,863
SY10,9134,2376,6311,447
SY11,10756,3507,6689,560
SY12,3691,1106,2435,150
SY13,9311,2556,6303,452
SY14,2297,599,1608,90
SY15,3460,1001,2297,162
SY16,7178,2418,4469,291
SY17,1654,496,1078,80
SY18,2021,802,1150,69
SY19,425,132,271,22
SY2,8725,2907,5455,363
SY20,3082,1050,1905,127
SY21,7551,2366,4807,378
SY22,2555,770,1685,100
SY23,11322,3712,6548,1062
SY24,1987,644,1252,91
SY25,1428,471,897,60
SY3,15788,5083,10078,627
SY4,10388,2753,7185,450
SY5,8758,2254,6008,496
SY6,3967,1224,2587,156
SY7,4358,1242,2924,192
SY8,8119,2725,5089,305
SY9,922,332,567,23
TA1,20206,7247,11960,999
TA10,4842,1365,3241,236
TA11,3933,1126,2654,153
TA12,2754,850,1779,125
TA13,2113,620,1412,81
TA14,1516,443,1034,39
TA15,224,81,134,9
TA16,900,283,590,27
TA17,326,85,222,19
TA18,4331,1373,2770,188
TA19,5763,1760,3793,210
TA2,13021,3887,8513,621
TA20,9358,2844,6030,484
TA21,9506,2880,6200,426
TA22,1180,405,729,46
TA23,3325,1110,2068,147
TA24,8015,2863,4805,347
TA3,5576,1467,3853,256
TA4,7721,2132,5260,329
TA5,5329,1417,3608,304
TA6,22585,6781,14391,1413
TA7,6235,1518,4404,313
TA8,7866,2630,4889,347
TA9,5316,1521,3485,310
TD12,661,228,416,17
TD15,7468,2602,4641,225
TF1,19732,5843,12611,1278
TF10,9558,2614,6358,586
TF11,5284,1408,3666,210
TF12,2611,777,1705,129
TF13,1621,474,1085,62
TF2,16038,4318,10838,882
TF3,11445,2941,7700,804
TF4,8132,2237,5534,361
TF5,2002,437,1473,92
TF6,1522,372,1074,76
TF7,8194,2401,5293,500
TF8,301,108,179,14
TF9,9611,2587,6499,525
TN1,7456,2864,4204,388
TN10,7278,1977,4989,312
TN11,7473,1753,5373,347
TN12,12341,2953,8772,616
TN13,10882,2890,7552,440
TN14,6477,1624,4533,320
TN15,9104,2273,6337,494
TN16,7592,1818,5335,439
TN17,5913,1600,4045,268
TN18,3150,883,2126,141
TN19,2413,573,1706,134
TN2,12042,3545,7969,528
TN20,1871,503,1270,98
TN21,6989,2044,4656,289
TN22,10867,2896,7442,529
TN23,18131,4536,12176,1419
TN24,14311,3744,9624,943
TN25,6849,1677,4846,326
TN26,5428,1372,3745,311
TN27,4773,1261,3306,206
TN28,3986,1096,2655,235
TN29,5302,1606,3382,314
TN3,6049,1417,4353,279
TN30,4414,1384,2845,185
TN31,6586,2050,4194,342
TN32,1821,484,1209,128
TN33,5183,1355,3541,287
TN34,15916,5883,8927,1106
TN35,7111,1918,4725,468
TN36,1079,404,605,70
TN37,9888,3738,5460,690
TN38,10537,3670,6177,690
TN39,13357,4570,8092,695
TN4,10708,3127,7152,429
TN40,7502,3101,4045,356
TN5,3431,976,2342,113
TN6,10127,2639,7012,476
TN7,769,185,538,46
TN8,5172,1398,3534,240
TN9,6952,2235,4396,321
TQ1,17358,7070,9245,1043
TQ10,1746,487,1153,106
TQ11,2225,700,1399,126
TQ12,26456,7644,17467,1345
TQ13,9030,2900,5732,398
TQ14,9005,3130,5477,398
TQ2,14365,4443,9016,906
TQ3,14889,4771,9170,948
TQ4,8980,3010,5445,525
TQ5,8809,2917,5480,412
TQ6,3959,1370,2436,153
TQ7,7926,2449,5106,371
TQ8,783,300,452,31
TQ9,7668,2580,4640,448
TR1,10780,3571,6560,649
TR10,6067,1681,3731,655
TR11,12979,3974,7551,1454
TR12,4244,1185,2821,238
TR13,8861,2535,5893,433
TR14,13417,4066,8514,837
TR15,10389,3434,6341,614
TR16,6604,1859,4342,403
TR17,1152,447,662,43
TR18,10356,4242,5656,458
TR19,4317,1482,2643,192
TR2,4351,1284,2854,213
TR20,3305,929,2153,223
TR21,736,247,434,55
TR22,76,22,44,10
TR24,74,25,47,2
TR25,56,12,38,6
TR26,5122,1726,3147,249
TR27,6012,1794,3891,327
TR3,5203,1481,3469,253
TR4,4497,1188,3021,288
TR5,1633,515,1041,77
TR6,1661,512,1044,105
TR7,10385,3510,6144,731
TR8,4089,1034,2786,269
TR9,3046,809,2078,159
TS1,8719,3588,3926,1205
TS10,17160,5927,10615,618
TS11,5307,1784,3399,124
TS12,10250,3395,6539,316
TS13,4569,1591,2835,143
TS14,8517,2660,5661,196
TS15,6723,1964,4586,173
TS16,4979,1408,3433,138
TS17,19540,5513,13216,811
TS18,11662,4067,6944,651
TS19,15029,4709,9702,618
TS2,427,148,251,28
TS20,9226,3314,5579,333
TS21,5317,1573,3592,152
TS22,4617,1150,3320,147
TS23,12210,3883,7871,456
TS24,11735,4466,6846,423
TS25,17462,5653,11210,599
TS26,9528,2904,6237,387
TS27,4712,1618,2967,127
TS28,2392,753,1567,72
TS29,2602,868,1654,80
TS3,13066,4503,7931,632
TS4,7771,2578,4762,431
TS5,15141,4431,9934,776
TS6,13182,4436,8260,486
TS7,10252,3010,6893,349
TS8,8724,3035,5408,281
TS9,5660,1877,3630,153
TW1,12992,3925,8244,823
TW10,8763,2808,5410,545
TW11,10587,3314,6741,532
TW12,9646,2821,6269,556
TW13,14333,3424,9154,1755
TW14,11601,2886,6969,1746
TW15,12389,3390,8049,950
TW16,8864,2263,6026,575
TW17,5751,1742,3731,278
TW18,11477,3313,7357,807
TW19,6801,1846,4161,794
TW2,11912,2943,8035,934
TW20,8669,2448,4943,1278
TW3,17362,3816,10266,3280
TW4,9190,1795,5452,1943
TW5,9563,1790,5789,1984
TW6,600,141,340,119
TW7,15151,3847,9593,1711
TW8,11243,3768,6467,1008
TW9,8932,2853,5532,547
UB1,13767,2649,7973,3145
UB10,15143,3491,10139,1513
UB11,570,119,381,70
UB18,135,15,84,36
UB2,10852,2008,6427,2417
UB3,17364,3677,10699,2988
UB4,13516,2663,8738,2115
UB5,17229,3919,10961,2349
UB6,16915,3980,10005,2930
UB7,12699,3022,8129,1548
UB8,13021,3938,7545,1538
UB9,5614,1772,3463,379
W1,120,54,57,9
W10,15515,5665,8023,1827
W11,14718,6509,6806,1403
W12,21825,7643,11201,2981
W13,15742,4673,9443,1626
W14,16749,6631,7875,2243
W1A,5492,2844,2105,543
W1B,331,186,120,25
W1C,504,285,170,49
W1D,593,309,184,100
W1G,619,288,274,57
W1H,2516,1151,1092,273
W1J,112,63,37,12
W1K,124,52,49,23
W1M,691,351,279,61
W1N,241,166,57,18
W1P,1515,776,519,220
W2,19534,8602,8597,2335
W3,22867,7432,12450,2985
W4,19806,6634,11459,1713
W5,19078,5855,10999,2224
W6,13608,5130,6585,1893
W7,10395,2616,6662,1117
W8,6333,2330,3457,546
W9,14467,5530,7170,1767
WA1,11393,3715,7133,545
WA10,19469,6959,11770,740
WA11,17454,5194,11639,621
WA12,11425,3588,7454,383
WA13,5887,1670,4032,185
WA14,13824,4043,9238,543
WA15,15815,4005,11122,688
WA16,9254,2691,6215,348
WA2,18124,6034,11209,881
WA3,21237,6445,14036,756
WA4,21916,6650,14507,759
WA5,24617,6530,17060,1027
WA6,8504,2515,5777,212
WA7,27301,8777,17407,1117
WA8,27457,8667,17704,1086
WA9,21566,6633,13961,972
WC1A,1193,548,473,172
WC1B,311,142,118,51
WC1E,228,110,84,34
WC1H,2721,1364,970,387
WC1N,2110,974,879,257
WC1R,116,63,40,13
WC1V,117,64,43,10
WC1X,1440,543,657,240
WC2A,218,126,73,19
WC2B,819,540,232,47
WC2E,417,233,137,47
WC2H,415,211,162,42
WD1,31372,9045,19508,2819
WD17,216,94,108,14
WD18,187,43,123,21
WD19,183,53,117,13
WD2,30506,8086,20154,2266
WD23,121,38,79,4
WD24,128,42,77,9
WD25,411,56,323,32
WD3,16174,4157,11169,848
WD4,4483,1272,2973,238
WD5,4273,1344,2743,186
WD6,16266,4463,10481,1322
WD7,4409,1005,3177,227
WF1,19481,6634,11597,1250
WF10,22278,6534,14821,923
WF11,7847,2647,4859,341
WF12,15279,4194,10061,1024
WF13,10589,3087,6536,966
WF14,8934,2770,5893,271
WF15,7970,2510,5138,322
WF16,4047,1243,2493,311
WF17,15353,4472,9867,1014
WF2,22225,6539,14673,1013
WF3,13432,3698,9233,501
WF4,18142,5192,12355,595
WF5,9141,2886,5983,272
WF6,9529,2827,6283,419
WF7,10423,3005,6987,431
WF8,15510,4540,10430,540
WF9,16571,4981,10855,735
WN1,10941,3989,6495,457
WN2,22759,6838,14902,1019
WN3,12610,3366,8735,509
WN4,11830,3360,8049,421
WN5,19435,5888,12782,765
WN6,17539,5026,11941,572
WN7,21836,7397,13538,901
WN8,19258,5915,12233,1110
WR1,7156,3451,3231,474
WR10,9482,2708,6419,355
WR11,20317,5719,13514,1084
WR12,2727,913,1746,68
WR13,5672,1452,3946,274
WR14,14532,5126,8869,537
WR15,3030,885,2027,118
WR2,13534,3682,8836,1016
WR3,9970,2747,6773,450
WR4,10757,2989,7189,579
WR5,13250,3519,8966,765
WR6,3555,821,2555,179
WR7,2130,453,1591,86
WR8,3137,978,2032,127
WR9,13617,4001,9066,550
WS1,11444,3596,6658,1190
WS10,19623,5480,12863,1280
WS11,20817,6188,13821,808
WS12,14601,3949,10069,583
WS13,13699,4324,8855,520
WS14,6763,1745,4790,228
WS15,16002,4455,10860,687
WS2,15640,4408,9978,1254
WS3,21669,6300,14306,1063
WS4,7374,2175,4781,418
WS5,7372,1792,4865,715
WS6,6820,1771,4773,276
WS7,12810,3515,8867,428
WS8,7116,2085,4707,324
WS9,10373,3098,6895,380
WV1,9082,3505,4790,787
WV10,23805,6781,15413,1611
WV11,14814,4547,9477,790
WV12,9974,2746,6775,453
WV13,8467,2464,5365,638
WV14,19678,5705,12695,1278
WV15,4244,1246,2840,158
WV16,7323,2222,4810,291
WV2,7429,2022,4614,793
WV3,12733,4288,7516,929
WV4,11878,3289,7725,864
WV5,5755,1700,3882,173
WV6,18007,5511,11370,1126
WV7,2474,756,1568,150
WV8,6237,1856,4141,240
WV9,2853,935,1824,94
YO1,20034,6692,10793,2549
YO10,147,61,54,32
YO11,14487,6036,7820,631
YO12,17097,5798,10558,741
YO13,3907,1008,2754,145
YO14,5307,1790,3328,189
YO15,8350,3238,4717,395
YO16,10540,3731,6461,348
YO17,10963,3298,7237,428
YO18,5232,1739,3333,160
YO19,3090,677,2296,117
YO2,29218,9011,18735,1472
YO21,6980,2402,4309,269
YO22,3320,1060,2155,105
YO23,494,117,364,13
YO24,169,23,138,8
YO25,14659,4306,9832,521
YO26,2965,629,2221,115
YO3,34426,10451,21605,2370
YO30,1139,267,822,50
YO31,265,68,183,14
YO4,16889,4617,11690,582
YO42,374,73,290,11
YO43,318,52,257,9
YO5,2477,675,1721,81
YO6,13226,3935,8868,423
YO61,132,31,98,3
YO7,8555,2504,5746,305
YO8,20307,5586,13963,758
