outcode,total_households,poverty_pct
ME1,15109,49.83
ME10,21222,53.96
ME11,2002,62.64
ME12,16374,62.82
ME13,12667,52.3
ME14,16058,46.16
ME15,21748,53.01
ME16,13562,47.13
ME17,10273,46.96
ME18,3224,46.77
ME19,10386,41.35
ME2,16704,51.99
ME20,8570,48.88
ME3,11665,51.33
ME4,13496,57.97
ME5,20857,52.26
ME6,4629,51.46
ME7,19745,55.22
ME8,20539,52.28
ME9,8117,49.76
MK1,4613,54.71
MK10,8846,37.37
MK11,5052,46.4
MK12,7111,51.09
MK13,6800,55.54
MK14,7740,53.75
MK15,3002,48.3
MK16,8506,43.55
MK17,9101,41.06
MK18,13901,41.42
MK19,5088,42.18
MK2,5361,61.78
MK3,10097,51.86
MK4,9177,41.42
MK40,17852,50.09
MK41,17518,48.49
MK42,21578,51.09
MK43,16345,41.5
MK44,7114,43.62
MK45,20208,41.84
MK46,3808,40.39
MK5,5941,44.55
MK6,10028,63.78
MK7,5799,44.66
MK8,4658,41.71
MK9,1967,45.55
N1,41484,49.82
N10,11809,44.54
N11,13728,51.98
N12,13004,49.09
N13,13853,54.92
N14,10642,47.67
N15,20602,63.73
N16,23702,54.83
N17,25261,66.68
N18,11917,68.85
N19,17891,54.42
N1C,547,62.89
N2,10322,45.41
N20,6672,42.72
N21,8076,44.89
N22,16249,60.63
N3,10388,47.01
N4,23199,52.33
N5,10504,42.84
N6,8129,40.52
N7,20861,56.68
N8,16049,48.74
N9,17193,68.03
NE1,6507,46.98
NE10,17117,59.44
NE11,7477,54.41
NE12,17688,50.23
NE13,10004,41.58
NE15,16188,56.2
NE16,10970,48.34
NE17,2398,59.88
NE18,411,50.85
NE19,1900,44.53
NE2,10540,43.12
NE20,4739,38.78
NE21,8241,52.07
NE22,9279,53.82
NE23,18084,52.57
NE24,18104,56.47
NE25,14454,46.14
NE26,7588,43.31
NE27,6753,44.69
NE28,21722,55.82
NE29,17628,56.38
NE3,21488,47.52
NE30,9255,43.98
NE31,10990,53.69
NE32,10503,59.37
NE33,14545,57.62
NE34,22362,59.34
NE35,3146,53.97
NE36,2957,45.45
NE37,9591,60.36
NE38,13060,53.62
NE39,3599,53.57
NE4,13746,65.71
NE40,6696,50.06
NE41,823,40.7
NE42,5381,50.33
NE43,2030,41.58
NE44,693,40.4
NE45,1524,45.54
NE46,7077,47.14
NE47,3156,44.9
NE48,1323,50.57
NE49,1622,55.8
NE5,20965,58.74
NE6,22923,59.78
NE61,16025,46.98
NE62,3938,58.02
NE63,12969,58.64
NE64,2519,64.47
NE65,9307,50.28
NE66,8081,48.9
NE67,479,45.93
NE68,860,51.63
NE69,179,50.84
NE7,5959,43.08
NE70,946,52.96
NE71,1396,56.3
NE8,14047,56.89
NE9,15416,55.24
NG1,7196,45.26
NG10,21286,51.41
NG11,16945,54.04
NG12,16529,43.72
NG13,9572,43.12
NG14,8713,45.12
NG15,20135,51.75
NG16,27582,54.82
NG17,32527,58.42
NG18,22021,56.38
NG19,21759,57.69
NG2,24042,46.83
NG20,11969,62.17
NG21,10368,54.0
NG22,12721,53.68
NG23,7703,43.42
NG24,20855,52.18
NG25,3538,43.92
NG3,22946,53.72
NG31,21219,52.73
NG32,5124,48.77
NG33,4236,47.83
NG34,18730,50.61
NG4,17511,51.94
NG5,37719,54.3
NG6,16470,62.0
NG7,19249,59.46
NG8,24361,59.32
NG9,30823,49.22
NN1,15790,52.64
NN10,17622,50.9
NN11,18085,49.28
NN12,11290,40.84
NN13,9292,41.64
NN14,20637,45.91
NN15,17966,49.56
NN16,12451,56.04
NN17,14065,52.51
NN18,14956,54.4
NN2,17411,52.54
NN29,5247,49.74
NN3,29710,53.69
NN4,20398,43.2
NN5,18490,51.82
NN6,15144,42.54
NN7,11734,45.44
NN8,22561,55.97
NN9,11721,51.49
NP1,24897,54.89
NP10,3226,36.64
NP11,391,47.31
NP12,13500,57.48
NP13,8771,63.64
NP15,4717,43.74
NP16,9754,46.84
NP18,7686,48.09
NP19,22859,57.19
NP2,11514,63.32
NP20,22619,58.45
NP23,14176,60.59
NP25,6544,49.45
NP26,9888,48.3
NP3,163,44.17
NP4,20445,57.36
NP44,20281,57.94
NP7,11669,50.48
NP8,2033,45.4
NR1,16228,51.48
NR10,11189,50.21
NR11,9382,51.51
NR12,10186,55.57
NR13,13100,48.23
NR14,12063,45.92
NR15,7078,47.27
NR16,5227,48.88
NR17,7389,51.06
NR18,8903,47.46
NR19,9386,54.86
NR2,14179,50.32
NR20,8640,50.43
NR21,7649,55.05
NR22,296,57.43
NR23,1628,56.02
NR24,1985,51.28
NR25,4102,54.58
NR26,3863,54.72
NR27,5697,59.03
NR28,7395,56.5
NR29,9546,57.62
NR3,15662,56.76
NR30,14258,67.82
NR31,22323,59.63
NR32,18084,59.75
NR33,17970,57.71
NR34,9684,53.56
NR35,4616,54.4
NR4,9635,50.75
NR5,12954,59.33
NR6,10169,51.5
NR7,13981,51.47
NR8,8916,44.76
NR9,7560,47.31
NW1,27510,56.5
NW10,39640,63.48
NW11,13717,48.9
NW2,26084,59.1
NW3,24069,43.81
NW4,12876,54.66
NW5,10097,56.18
NW6,28631,52.14
NW7,9856,45.11
NW8,13057,52.72
NW9,25723,56.2
OL1,11752,65.16
OL10,12600,56.58
OL11,20218,59.44
OL12,19214,57.61
OL13,7038,55.91
OL14,7246,51.67
OL15,6708,48.85
OL16,12627,57.99
OL2,17749,54.0
OL3,6895,42.6
OL4,16949,58.42
OL5,5467,49.75
OL6,13364,61.07
OL7,6741,62.82
OL8,15228,68.55
OL9,13728,61.87
OX1,8114,42.09
OX10,12160,42.37
OX11,18642,41.7
OX12,13023,42.57
OX13,6825,40.5
OX14,18132,43.81
OX15,9474,39.22
OX16,21665,52.3
OX17,6376,42.79
OX18,11218,43.26
OX2,15581,38.75
OX20,3013,37.7
OX25,5621,40.14
OX26,14862,44.76
OX27,2701,39.65
OX28,12800,45.89
OX29,10082,42.16
OX3,17679,46.74
OX33,3026,43.03
OX39,3426,40.43
OX4,23365,53.55
OX44,3200,43.06
OX49,1874,40.18
OX5,9818,45.87
OX7,9381,43.62
OX9,6465,42.26
PE1,21335,63.65
PE10,10926,46.88
PE11,20299,54.23
PE12,18526,58.65
PE13,16786,62.37
PE14,9662,57.17
PE15,13459,56.88
PE16,4880,54.9
PE17,27388,46.45
PE18,23158,46.33
PE19,17779,46.76
PE2,22491,52.26
PE20,6826,57.56
PE21,19366,59.46
PE22,6661,59.66
PE23,3843,57.4
PE24,5388,67.52
PE25,10563,69.54
PE27,98,38.78
PE28,923,36.73
PE29,583,32.76
PE3,12689,57.49
PE30,20757,56.52
PE31,9614,56.17
PE32,6811,54.66
PE33,6242,51.22
PE34,5428,56.95
PE36,2783,59.18
PE37,5295,58.92
PE38,6872,56.71
PE4,12908,55.54
PE5,577,45.41
PE6,16491,46.2
PE7,19219,48.3
PE8,7185,42.06
PE9,13927,43.92
PL1,15140,59.42
PL10,1808,52.49
PL11,4542,51.83
PL12,9939,49.92
PL13,5040,55.16
PL14,10929,55.54
PL15,9652,53.96
PL16,382,51.83
PL17,4417,54.7
PL18,2342,52.35
PL19,7092,49.49
PL2,14373,55.84
PL20,5606,49.61
PL21,8833,44.49
PL22,1904,50.05
PL23,1564,48.66
PL24,4822,57.15
PL25,12918,55.42
PL26,12285,57.39
PL27,5667,51.19
PL28,1838,57.18
PL29,738,54.47
PL3,12958,49.57
PL30,4344,51.2
PL31,6502,58.03
PL32,1763,57.29
PL33,905,59.23
PL34,708,58.47
PL35,362,48.34
PL4,12576,56.16
PL5,19696,60.9
PL6,17561,52.62
PL7,13795,47.09
PL8,2308,45.41
PL9,12565,47.45
PO1,13845,61.41
PO10,8944,44.16
PO11,8190,54.73
PO12,20953,53.25
PO13,15297,54.93
PO14,15730,46.75
PO15,9643,43.59
PO16,13722,46.69
PO17,3498,45.45
PO18,7260,43.97
PO19,14699,47.36
PO2,17518,53.86
PO20,15063,51.6
PO21,20026,57.57
PO22,12789,52.79
PO3,7960,48.33
PO30,14264,55.26
PO31,6524,48.07
PO32,4026,55.04
PO33,14745,56.53
PO34,896,49.22
PO35,1626,54.12
PO36,8070,60.59
PO37,4194,58.23
PO38,5630,59.24
PO39,1593,54.8
PO4,18125,47.45
PO40,2353,56.52
PO41,834,51.08
PO5,11764,53.14
PO6,17163,52.19
PO7,18956,49.77
PO8,14579,47.94
PO9,20875,57.34
PR0,181,54.7
PR1,31199,56.8
PR11,126,39.68
PR2,32742,51.24
PR25,15858,48.86
PR26,5056,45.65
PR3,17288,45.3
PR4,26520,45.3
PR5,17250,49.17
PR6,16218,46.99
PR7,26196,47.74
PR8,25223,52.67
PR9,19452,55.03
RG1,21425,46.24
RG10,8243,37.32
RG11,31410,37.81
RG12,34518,45.18
RG13,17867,47.72
RG14,12231,43.11
RG15,7200,41.51
RG16,7678,39.84
RG17,3232,45.88
RG18,349,29.8
RG19,602,37.87
RG2,17139,49.99
RG21,14021,49.61
RG22,17175,48.49
RG23,5316,46.82
RG24,16430,41.14
RG25,6461,39.17
RG26,9628,45.1
RG27,8872,37.76
RG28,2881,41.1
RG3,31198,49.28
RG30,215,47.91
RG31,139,28.78
RG4,16888,39.87
RG40,867,26.07
RG41,350,28.0
RG42,1670,38.08
RG5,11094,44.29
RG6,13017,40.15
RG7,12333,40.67
RG8,6402,37.89
RG9,8936,38.5
RH1,22010,44.4
RH10,31062,48.66
RH11,21431,58.07
RH12,22850,42.73
RH13,16125,42.38
RH14,6708,41.58
RH15,14424,45.25
RH16,17158,40.64
RH17,6892,39.48
RH18,2362,43.78
RH19,14382,43.62
RH2,9758,39.33
RH20,11200,43.48
RH3,1942,41.35
RH4,7680,43.91
RH5,5553,43.51
RH6,13865,45.27
RH7,3648,46.46
RH8,6140,41.12
RH9,1834,47.93
RM1,12020,51.66
RM10,16020,62.86
RM11,13873,47.81
RM12,13733,52.11
RM13,11962,56.94
RM14,10488,46.05
RM15,12034,57.58
RM16,22445,51.61
RM17,10802,53.73
RM18,6921,60.79
RM19,253,41.11
RM2,4996,44.18
RM3,17986,59.07
RM4,1452,52.48
RM5,8062,56.15
RM6,12423,57.26
RM7,10350,54.11
RM8,16032,62.33
RM9,12433,66.65
S1,7613,50.98
S10,19453,43.4
S11,14777,40.81
S12,16722,57.25
S13,14004,58.35
S14,4535,67.89
S17,7179,41.73
S18,11072,47.9
S19,12923,53.54
S2,17439,62.72
S20,488,31.97
S21,8652,53.47
S25,9465,53.0
S26,10991,50.85
S3,6379,57.38
S30,35559,48.71
S35,890,59.44
S36,206,29.13
S4,4929,69.34
S40,19659,54.09
S41,15692,54.22
S42,13351,52.36
S43,17829,56.27
S44,9189,57.6
S45,5722,60.49
S5,24514,67.57
S6,24389,51.24
S60,19373,54.09
S61,15193,59.79
S62,10086,58.93
S63,18563,60.21
S64,12649,59.78
S65,13707,65.65
S66,18939,54.47
S7,5848,45.55
S70,20473,59.41
S71,21023,59.32
S72,11452,60.46
S73,12369,58.99
S74,7552,59.92
S75,18973,49.87
S8,18993,51.95
S80,13398,60.17
S81,15807,52.27
S9,9966,65.08
SA1,24891,60.82
SA10,14189,53.23
SA11,15942,61.46
SA12,14870,60.85
SA13,7417,61.09
SA14,16805,54.13
SA15,15727,57.39
SA16,3840,57.81
SA17,4039,56.97
SA18,13330,58.17
SA19,4758,51.16
SA2,15351,47.87
SA20,1215,53.99
SA3,11273,44.27
SA31,8812,51.43
SA32,2295,49.89
SA33,5484,51.86
SA34,2501,51.38
SA35,612,59.64
SA37,1140,52.72
SA38,2199,54.57
SA39,1444,56.37
SA4,19669,49.94
SA40,1533,54.08
SA41,764,51.44
SA42,1254,50.0
SA43,5449,54.4
SA44,4617,54.43
SA45,566,53.71
SA46,1504,52.53
SA47,83,69.88
SA48,3475,54.53
SA5,15742,62.64
SA6,14133,56.72
SA61,7222,55.11
SA62,9667,48.86
SA63,325,45.54
SA64,931,54.46
SA65,1680,56.19
SA66,1555,50.87
SA67,2634,50.34
SA68,2224,54.27
SA69,1762,50.57
SA7,5668,50.71
SA70,3463,55.56
SA71,5304,56.88
SA72,4218,59.06
SA73,8977,57.83
SA8,5348,53.98
SA9,6387,60.03
SE1,37814,48.39
SE10,18827,39.27
SE11,10171,53.92
SE12,12925,49.7
SE13,20126,50.45
SE14,12968,56.49
SE15,27950,56.22
SE16,22904,50.4
SE17,13788,57.93
SE18,34687,56.33
SE19,14113,48.16
SE2,9032,59.95
SE20,10955,51.46
SE21,7784,41.74
SE22,12339,41.96
SE23,15453,46.89
SE24,8951,46.01
SE25,14141,53.5
SE26,12026,52.49
SE27,8390,52.25
SE28,10418,58.9
SE3,14609,44.85
SE4,10385,48.27
SE5,19312,55.53
SE6,20211,57.32
SE7,7728,53.73
SE8,11122,55.72
SE9,24640,54.4
SG1,23066,50.94
SG10,1241,41.66
SG11,3389,44.17
SG12,12743,44.82
SG13,7248,39.46
SG14,8636,44.33
SG15,2683,45.43
SG16,3091,42.35
SG17,5756,42.82
SG18,13003,44.67
SG19,10238,46.95
SG2,17245,51.1
SG3,2698,41.96
SG4,13057,41.44
SG5,13435,44.38
SG6,14523,51.56
SG7,6208,44.02
SG8,16620,43.65
SG9,4941,43.55
SK1,7953,57.09
SK10,20177,42.28
SK11,15516,47.91
SK12,22677,43.89
SK13,15075,48.92
SK14,21832,55.5
SK15,12278,53.49
SK16,8043,59.17
SK17,13138,49.86
SK2,13129,49.76
SK22,154,40.26
SK23,83,36.14
SK3,12197,51.85
SK4,15198,44.58
SK5,13181,60.05
SK6,21557,49.37
SK7,17341,41.74
SK8,23923,45.56
SK9,17267,40.2
SL0,4954,45.12
SL1,29509,55.97
SL2,18621,56.18
SL3,16816,52.06
SL4,18606,41.7
SL5,9137,36.89
SL6,31926,41.25
SL7,8321,37.63
SL8,2809,41.3
SL9,8486,37.1
SM1,19530,49.55
SM2,12095,44.78
SM3,7407,46.83
SM4,14539,52.86
SM5,15378,50.38
SM6,14030,50.84
SM7,6588,41.94
SN1,15745,50.91
SN10,14603,48.89
SN11,11471,46.33
SN12,12190,50.07
SN13,8040,45.66
SN14,12012,43.21
SN15,13245,45.48
SN16,6094,41.09
SN17,114,43.86
SN2,28736,53.38
SN25,8181,36.0
SN3,22748,54.11
SN38,405,48.4
SN4,11693,47.76
SN5,14093,48.58
SN6,9171,44.63
SN7,6008,42.11
SN8,10378,43.12
SN9,3362,44.91
SO1,50155,52.9
SO14,5367,59.1
SO15,398,40.7
SO16,4825,54.13
SO17,6265,52.26
SO18,17316,53.22
SO19,24465,56.24
SO20,4056,41.32
SO21,9791,39.21
SO22,12069,41.53
SO23,8818,45.25
SO24,4128,41.93
SO3,39281,42.92
SO30,1297,34.0
SO31,629,33.07
SO32,502,30.68
SO4,50244,47.84
SO40,269,38.29
SO41,395,63.04
SO45,77,58.44
SO5,46388,45.23
SO50,761,40.87
SO51,1217,32.79
SO53,1192,32.3
SP1,10565,46.31
SP10,18006,50.83
SP11,12669,40.71
SP2,13698,48.85
SP3,5531,45.43
SP4,14288,44.21
SP5,9113,42.72
SP6,5748,45.42
SP7,6364,46.81
SP8,6271,50.61
SP9,3577,41.15
SR1,4916,67.39
SR2,14457,56.17
SR3,16391,59.67
SR4,16543,61.57
SR5,15322,65.51
SR6,12543,50.19
SR7,13582,58.8
SR8,15665,63.61
SS0,20956,54.6
SS1,13450,56.42
SS11,7997,52.91
SS12,7774,49.04
SS13,9949,63.26
SS14,11109,60.35
SS15,13930,56.46
SS16,12316,53.81
SS17,12989,53.61
SS2,15476,59.11
SS22,130,56.92
SS3,11503,56.18
SS4,9218,53.36
SS5,9182,51.08
SS6,13789,47.9
SS7,20555,51.12
SS8,16171,62.98
SS9,20540,48.01
ST1,15151,59.63
ST10,11550,49.79
ST11,4475,48.47
ST12,2542,45.0
ST13,12247,52.2
ST14,8910,48.43
ST15,10455,44.85
ST16,15921,49.12
ST17,16536,48.77
ST18,7154,43.81
ST19,7011,48.92
ST2,15950,61.28
ST20,3436,45.4
ST21,2318,41.63
ST3,28796,59.04
ST4,24637,53.88
ST5,34947,53.63
ST6,28256,60.8
ST7,23960,50.6
ST8,8133,53.36
ST9,3983,46.07
SW10,8998,45.78
SW11,37174,40.78
SW12,15032,36.62
SW13,7410,36.73
SW14,6849,35.98
SW15,26772,44.02
SW16,32022,50.82
SW17,25821,44.39
SW18,27051,35.9
SW19,31890,39.36
SW1A,882,36.51
SW1E,1313,34.35
SW1H,497,51.71
SW1P,6143,50.64
SW1V,10107,53.34
SW1W,3662,40.28
SW1X,2674,32.09
SW1Y,165,51.52
SW2,23076,50.25
SW20,10496,38.66
SW3,8905,42.52
SW4,17780,44.52
SW5,7849,49.17
SW6,30030,42.98
SW7,5854,38.35
SW8,15181,52.05
SW9,17346,54.69
SY1,12915,49.65
SY10,9128,48.09
SY11,10778,52.92
SY12,3709,51.06
SY13,9305,51.81
SY14,2298,45.56
SY15,3443,49.7
SY16,7176,53.36
SY17,1652,49.39
SY18,2018,52.73
SY19,424,53.07
SY2,8736,48.9
SY20,3090,52.3
SY21,7565,52.02
SY22,2568,50.0
SY23,11356,50.61
SY24,1989,48.77
SY25,1430,55.59
SY3,15806,43.94
SY4,10402,48.25
SY5,8764,45.76
SY6,3971,49.38
SY7,4348,50.3
SY8,8114,51.07
SY9,928,50.86
TA1,20227,49.1
TA10,4823,48.66
TA11,3938,47.97
TA12,2752,49.02
TA13,2110,49.57
TA14,1510,51.39
TA15,227,44.49
TA16,903,50.94
TA17,331,45.02
TA18,4314,51.69
TA19,5759,48.43
TA2,13017,47.08
TA20,9355,54.85
TA21,9504,49.34
TA22,1191,53.57
TA23,3326,55.17
TA24,8009,56.49
TA3,5561,45.75
TA4,7740,47.8
TA5,5332,47.22
TA6,22579,54.01
TA7,6255,49.96
TA8,7868,56.56
TA9,5304,59.75
TD12,669,47.83
TD15,7493,54.66
TF1,19781,53.71
TF10,9542,47.84
TF11,5300,44.32
TF12,2591,55.19
TF13,1627,49.05
TF2,16029,54.55
TF3,11438,56.24
TF4,8129,52.42
TF5,2001,43.23
TF6,1527,49.25
TF7,8216,61.98
TF8,293,42.32
TF9,9631,50.55
TN1,7439,43.39
TN10,7280,52.9
TN11,7480,42.91
TN12,12310,45.57
TN13,10865,36.25
TN14,6496,42.47
TN15,9071,45.88
TN16,7613,46.09
TN17,5945,45.25
TN18,3159,47.26
TN19,2417,45.18
TN2,12027,45.91
TN20,1864,43.08
TN21,6968,45.95
TN22,10869,44.74
TN23,18117,51.42
TN24,14280,51.48
TN25,6843,44.37
TN26,5444,51.78
TN27,4754,48.09
TN28,3992,57.29
TN29,5302,62.58
TN3,6069,39.96
TN30,4409,50.51
TN31,6579,53.72
TN32,1811,45.61
TN33,5195,50.11
TN34,15881,57.86
TN35,7105,54.96
TN36,1080,55.56
TN37,9883,57.76
TN38,10530,59.28
TN39,13363,57.37
TN4,10708,44.14
TN40,7500,58.91
TN5,3433,43.78
TN6,10142,44.84
TN7,777,41.96
TN8,5169,45.29
TN9,6954,44.0
TQ1,17363,58.65
TQ10,1734,52.02
TQ11,2220,50.36
TQ12,26460,50.73
TQ13,9056,48.37
TQ14,9011,52.17
TQ2,14352,56.73
TQ3,14864,58.18
TQ4,8996,57.2
TQ5,8825,57.31
TQ6,3962,49.42
TQ7,7919,48.73
TQ8,786,44.66
TQ9,7672,48.46
TR1,10772,49.85
TR10,6080,53.27
TR11,12983,51.48
TR12,4223,54.96
TR13,8867,50.46
TR14,13393,58.0
TR15,10383,57.14
TR16,6589,54.35
TR17,1156,57.18
TR18,10341,59.69
TR19,4297,55.2
TR2,4343,49.34
TR20,3294,52.58
TR21,740,48.78
TR22,76,55.26
TR24,75,45.33
TR25,55,58.18
TR26,5116,54.24
TR27,6005,54.79
TR3,5188,48.57
TR4,4489,47.61
TR5,1632,45.89
TR6,1649,49.85
TR7,10393,53.82
TR8,4093,48.82
TR9,3057,54.99
TS1,8720,66.88
TS10,17109,56.03
TS11,5306,50.81
TS12,10238,55.13
TS13,4562,60.28
TS14,8536,48.45
TS15,6737,39.35
TS16,4965,42.28
TS17,19530,47.68
TS18,11625,55.93
TS19,15053,59.26
TS2,433,71.82
TS20,9232,53.02
TS21,5326,46.9
TS22,4629,41.54
TS23,12202,55.97
TS24,11764,64.55
TS25,17488,59.23
TS26,9538,50.19
TS27,4704,57.78
TS28,2382,58.94
TS29,2601,62.59
TS3,13068,68.48
TS4,7765,60.46
TS5,15113,50.69
TS6,13194,61.29
TS7,10281,47.15
TS8,8709,55.33
TS9,5672,45.72
TW1,12946,35.52
TW10,8727,38.54
TW11,10583,37.26
TW12,9665,44.02
TW13,14365,59.02
TW14,11599,62.88
TW15,12386,49.33
TW16,8858,47.01
TW17,5772,48.44
TW18,11489,45.78
TW19,6797,56.7
TW2,11904,42.48
TW20,8667,49.29
TW3,17349,61.02
TW4,9190,65.58
TW5,9574,63.21
TW6,593,70.32
TW7,15127,50.31
TW8,11243,49.85
TW9,8945,36.3
UB1,13773,68.0
UB10,15156,46.87
UB11,584,59.08
UB18,132,67.42
UB2,10823,68.59
UB3,17356,64.37
UB4,13542,61.13
UB5,17180,60.79
UB6,16897,55.21
UB7,12686,59.07
UB8,12997,55.74
UB9,5598,50.07
W1,119,26.05
W10,15518,63.18
W11,14738,51.91
W12,21828,55.31
W13,15726,46.96
W14,16713,48.28
W1A,5513,41.07
W1B,333,36.94
W1C,506,47.43
W1D,591,58.04
W1G,622,37.62
W1H,2513,38.36
W1J,113,45.13
W1K,122,38.52
W1M,695,51.37
W1N,234,42.74
W1P,1502,51.73
W2,19569,50.8
W3,22856,51.36
W4,19818,38.57
W5,19040,44.13
W6,13623,47.87
W7,10402,52.53
W8,6318,34.33
W9,14465,51.84
WA1,11393,49.14
WA10,19471,55.28
WA11,17446,56.11
WA12,11432,51.43
WA13,5890,39.24
WA14,13831,38.62
WA15,15817,39.96
WA16,9267,41.79
WA2,18169,58.08
WA3,21213,49.63
WA4,21927,42.87
WA5,24608,46.33
WA6,8506,43.08
WA7,27272,59.08
WA8,27477,55.21
WA9,21586,60.58
WC1A,1189,51.47
WC1B,308,49.68
WC1E,232,38.36
WC1H,2718,63.61
WC1N,2104,59.79
WC1R,119,65.55
WC1V,116,68.97
WC1X,1435,58.82
WC2A,218,38.99
WC2B,834,51.92
WC2E,422,37.2
WC2H,413,54.72
WD1,31399,49.88
WD17,213,61.03
WD18,185,48.11
WD19,185,41.08
WD2,30490,48.52
WD23,115,40.0
WD24,129,34.11
WD25,412,30.34
WD3,16185,40.69
WD4,4478,42.18
WD5,4280,48.32
WD6,16186,51.99
WD7,4418,39.0
WF1,19432,55.17
WF10,22270,56.49
WF11,7832,59.92
WF12,15277,58.78
WF13,10580,65.71
WF14,8908,47.79
WF15,7953,54.8
WF16,4042,61.33
WF17,15332,60.1
WF2,22244,54.77
WF3,13430,47.62
WF4,18120,51.15
WF5,9165,51.07
WF6,9509,55.36
WF7,10420,54.3
WF8,15554,53.93
WF9,16564,61.4
WN1,10954,52.53
WN2,22746,56.33
WN3,12587,51.55
WN4,11829,52.04
WN5,19413,55.95
WN6,17505,48.2
WN7,21838,56.46
WN8,19284,56.86
WR1,7139,51.1
WR10,9510,48.76
WR11,20291,50.85
WR12,2720,48.68
WR13,5639,44.87
WR14,14503,49.6
WR15,3033,51.17
WR2,13509,49.34
WR3,9970,45.29
WR4,10737,53.62
WR5,13247,44.89
WR6,3537,42.55
WR7,2123,41.07
WR8,3139,48.42
WR9,13617,49.52
WS1,11455,63.14
WS10,19602,65.16
WS11,20756,55.28
WS12,14562,51.55
WS13,13683,48.31
WS14,6789,40.6
WS15,16027,53.0
WS2,15649,66.32
WS3,21663,62.51
WS4,7346,57.5
WS5,7383,54.56
WS6,6819,55.37
WS7,12868,52.35
WS8,7126,59.4
WS9,10321,53.3
WV1,9087,65.73
WV10,23836,60.68
WV11,14814,59.92
WV12,9960,57.98
WV13,8471,61.89
WV14,19688,62.74
WV15,4247,49.89
WV16,7317,51.13
WV2,7416,63.11
WV3,12756,54.57
WV4,11858,53.78
WV5,5778,50.05
WV6,17988,50.6
WV7,2477,53.33
WV8,6234,52.47
WV9,2848,52.7
YO1,20012,47.07
YO10,149,42.28
YO11,14483,57.97
YO12,17103,53.65
YO13,3908,45.57
YO14,5299,57.58
YO15,8343,61.45
YO16,10485,61.72
YO17,10949,48.87
YO18,5244,50.11
YO19,3095,39.22
YO2,29223,45.35
YO21,6999,51.41
YO22,3315,54.54
YO23,497,41.65
YO24,171,33.92
YO25,14666,49.3
YO26,2993,37.92
YO3,34440,46.57
YO30,1144,42.22
YO31,262,41.98
YO4,16879,44.31
YO42,370,30.0
YO43,318,27.67
YO5,2480,44.11
YO6,13224,44.94
YO61,130,36.92
YO7,8562,46.46
YO8,20300,47.54
