outcode,Single,Married,Seperated,Divorced,Widowed
AL1,12299,15861,652,2343,1603
AL10,18163,10940,680,2392,1298
AL2,6693,10565,391,1763,1277
AL3,7146,12365,452,1850,1438
AL4,6422,11507,359,1660,1179
AL5,6008,14219,415,1659,1320
AL6,3222,7074,195,875,814
AL7,11384,12322,719,2722,1642
AL8,3046,5305,215,831,708
AL9,2779,4617,149,646,517
B1,9460,2453,230,654,178
B10,9298,11454,721,1013,1173
B11,14194,17976,1123,1947,1750
B12,8248,6948,610,1046,800
B13,13168,12962,759,2392,1700
B14,14788,13019,819,3008,1990
B15,13965,5759,341,965,702
B16,11592,6487,581,1228,603
B17,10244,9758,441,1609,1270
B18,7976,4871,594,1082,600
B19,9879,7016,656,1070,770
B2,494,103,21,28,26
B20,12995,13818,843,1814,1481
B21,8341,9104,681,1283,1155
B22,91,62,3,33,15
B23,20105,13795,1358,3803,2274
B24,10468,8903,663,2047,1419
B25,5436,5974,350,979,724
B26,11836,12597,689,2333,1929
B27,9518,8795,659,1866,1330
B28,8249,11770,467,1439,1417
B29,24701,10704,730,2168,1697
B3,1145,212,18,48,2
B30,10477,9378,570,2165,1421
B31,19986,17106,1207,4505,2904
B32,12989,11284,825,2680,1676
B33,12056,9697,773,2216,1570
B34,7112,5745,426,1328,1067
B35,3534,1923,197,698,485
B36,11805,12568,700,2104,1834
B37,12804,9485,766,2692,1835
B38,6079,5667,380,1361,1006
B4,6826,611,66,84,42
B42,8974,9866,561,1771,1315
B43,8617,11948,518,1890,1906
B44,11851,9400,743,2364,1609
B45,10005,11155,610,2426,1603
B46,3868,5979,257,1074,891
B47,2327,4889,139,674,740
B48,1239,2455,98,398,303
B49,2765,5691,220,1109,828
B5,4206,2240,192,523,249
B50,1761,3111,119,573,359
B6,5966,5802,424,743,669
B60,8218,12870,577,2512,1766
B61,6386,9221,422,2090,1221
B62,7331,11218,450,1780,1638
B63,10609,13473,671,2916,2086
B64,6400,6403,414,1486,998
B65,7976,8649,550,1823,1561
B66,9539,10501,787,1461,1147
B67,8107,9267,520,1546,1294
B68,9467,11291,631,2138,1672
B69,8918,10055,560,1936,1308
B7,2935,1991,257,504,246
B70,10770,12096,668,2015,1711
B71,9949,11063,697,1989,1711
B72,3490,5566,191,778,809
B73,5172,8948,281,1202,1147
B74,7104,15611,401,1901,2214
B75,6709,11212,372,1727,1422
B76,4771,8090,256,1319,1096
B77,16697,21504,1058,4523,2678
B78,6999,10082,448,2005,1310
B79,6573,9517,437,2058,1587
B8,12738,15696,1068,1502,1493
B80,2273,3250,148,744,512
B9,6358,7701,482,733,609
B90,12957,20954,786,3344,2854
B91,7320,16438,401,1992,2153
B92,9107,13235,519,2264,1881
B93,3823,9822,213,1184,1238
B94,1487,3644,103,508,354
B95,1465,3022,97,589,549
B96,1088,2352,78,436,307
B97,10050,13200,652,2844,1786
B98,13565,17155,878,3861,2014
BA1,17973,16834,619,3392,2117
BA10,1336,2031,72,474,258
BA11,10130,14634,712,3361,1922
BA12,7157,13114,600,2703,2029
BA13,5947,8766,414,1893,1129
BA14,14124,20102,971,4477,2600
BA15,3079,6354,216,1185,1001
BA16,4201,5231,296,1216,823
BA2,30582,24449,965,4473,3253
BA20,4190,5456,273,1328,862
BA21,9831,12921,685,3213,1750
BA22,4671,8457,347,1590,1009
BA3,10073,15686,646,2898,1976
BA4,4876,7382,327,1563,858
BA5,4722,8031,332,1807,1368
BA6,3460,4992,273,1349,764
BA7,974,1539,70,349,347
BA8,1158,2410,77,434,264
BA9,1878,3047,152,648,391
BB0,209,76,9,34,22
BB1,20295,28672,1354,4243,3351
BB10,12252,15949,888,3206,2411
BB11,8616,7395,580,2126,1273
BB12,9996,12881,702,3034,1876
BB18,4852,7023,397,1610,1060
BB2,18385,20943,1139,4174,2915
BB3,10440,10913,736,2894,1727
BB4,11971,15712,826,3525,2327
BB5,18963,20543,1453,4971,3149
BB6,6488,10065,473,1989,1402
BB7,6294,10387,425,2164,1550
BB8,7352,8166,506,2251,1359
BB9,11889,17479,934,2952,2136
BD1,5692,3450,337,587,292
BD10,9676,10551,624,2523,1495
BD11,3593,5397,262,1029,793
BD12,5699,6403,316,1562,1068
BD13,8627,11609,650,2571,1433
BD14,2737,3059,187,625,432
BD15,4794,6473,359,1236,895
BD16,6834,11031,484,2348,1787
BD17,5296,7231,383,1593,1151
BD18,8780,9319,617,2016,1335
BD19,6309,8108,452,1870,1189
BD2,8677,10391,659,1973,1364
BD20,10112,17258,707,3318,2385
BD21,8612,9285,626,2095,1190
BD22,6985,9156,461,2177,1200
BD23,7296,12923,588,2636,1948
BD24,1055,2189,63,456,326
BD3,8873,11906,736,1317,1119
BD4,10838,9071,854,2321,1338
BD5,8650,9700,655,1448,948
BD6,9523,9559,629,2246,1485
BD7,8711,10907,680,1426,1097
BD8,8579,11540,815,1361,1099
BD9,7134,9955,526,1118,858
BH1,17610,7245,732,2929,1004
BH10,6946,9047,414,2176,1398
BH11,6321,7064,361,1891,1067
BH12,11872,13598,674,3577,2027
BH13,1526,4153,124,670,814
BH14,6224,8963,405,2180,1330
BH15,10131,12693,636,3361,2093
BH16,3820,6551,272,1361,910
BH17,6233,9331,366,2137,1134
BH18,1987,5783,125,645,881
BH19,2563,5045,202,1071,911
BH2,4257,2441,214,1039,502
BH20,4786,8859,372,1716,1324
BH21,11957,25874,886,4531,3453
BH22,5223,13206,340,2342,2596
BH23,12543,24207,898,5001,4284
BH24,5333,11163,377,2085,1614
BH25,5803,11672,367,2421,2263
BH3,2637,2437,89,499,260
BH31,87,266,3,33,18
BH4,2848,2564,170,897,635
BH5,4302,3088,261,1166,513
BH6,6519,8980,435,2316,1505
BH7,2411,3591,103,707,372
BH8,9911,9386,546,2523,1259
BH9,10762,8856,411,1916,864
BL0,5201,7789,336,1629,995
BL1,21089,26080,1298,4870,3231
BL11,307,36,2,17,7
BL2,14749,16397,925,3788,2762
BL3,18545,26420,1235,3988,3404
BL4,11494,9834,797,2733,1708
BL5,7719,11313,483,2397,1480
BL6,8488,11282,550,2504,1679
BL7,3413,6160,227,1104,727
BL8,9068,14600,565,2631,2095
BL9,15665,18417,1099,3829,2638
BN1,42181,23918,1402,6035,2595
BN10,5601,7503,382,1844,1311
BN11,12492,10913,870,4148,2576
BN12,5491,10019,396,1959,1780
BN13,8055,12016,564,2838,1660
BN14,8033,11970,525,2537,1465
BN15,7693,10590,506,2669,1892
BN16,6360,13360,510,2863,2720
BN17,9321,11129,774,3242,1718
BN18,3787,6241,259,1299,923
BN2,43578,22727,1575,6705,3478
BN20,6365,10752,447,2442,2112
BN21,8333,7276,579,2601,1556
BN22,9783,10737,694,3068,1726
BN23,7950,11171,635,2972,1881
BN24,2031,3836,155,801,589
BN25,5866,10493,445,2241,2076
BN26,3343,5610,267,1313,1003
BN27,7996,12855,585,2825,2099
BN3,31634,23721,1471,6386,3237
BN4,17145,22689,1149,5171,3442
BN41,544,492,32,154,84
BN42,120,116,5,22,24
BN43,770,918,67,261,124
BN44,152,230,12,53,32
BN5,1793,3455,148,647,554
BN6,4147,8333,296,1275,1112
BN7,5895,7615,432,1904,1024
BN8,3649,7517,258,1236,952
BN9,4040,4311,332,1248,673
BR1,20963,22650,1261,4234,2714
BR2,14020,19705,781,3174,2199
BR3,15249,18902,826,3405,2192
BR4,4353,8453,236,992,1034
BR5,15220,19132,867,3407,2461
BR6,10742,20454,576,2645,2528
BR7,4520,7765,283,1093,1080
BR8,6647,9100,462,1712,1353
BS0,80,100,3,35,5
BS1,19510,3506,312,950,274
BS10,11976,11040,641,2538,1500
BS11,6442,5617,381,1520,868
BS12,22558,30994,1173,5654,3553
BS13,12591,9561,674,2469,1596
BS14,9651,12049,481,2178,1800
BS15,25531,32108,1314,6350,4338
BS16,32031,29951,1424,5863,3726
BS17,14018,23675,807,4054,3114
BS18,13846,25038,846,3901,3095
BS19,8025,17021,468,2680,2345
BS2,11374,3368,286,1068,332
BS20,7488,14447,562,2662,1929
BS21,5543,9900,383,2016,1584
BS22,10387,15917,805,3756,2381
BS23,12040,10814,924,4257,2383
BS24,6651,10400,476,2059,1147
BS25,912,2307,65,348,342
BS26,878,1901,74,364,221
BS27,1641,2971,141,552,476
BS28,636,1648,64,224,207
BS3,19256,11078,500,2332,1206
BS31,536,542,24,112,99
BS32,646,815,40,109,33
BS34,2202,1742,101,311,87
BS35,290,316,17,49,12
BS36,71,142,2,16,8
BS37,677,464,21,80,61
BS39,301,226,21,66,8
BS4,18043,14737,824,3114,1775
BS49,95,77,6,28,14
BS5,22276,12836,938,3355,1552
BS6,19315,9470,324,1522,712
BS7,17602,10326,542,1998,1011
BS8,14359,5514,248,1153,548
BS9,8692,12541,309,1745,1733
CA1,8946,7990,577,2303,1196
CA10,4073,8010,218,1215,974
CA11,6214,9642,329,1738,1502
CA12,1908,3334,104,592,544
CA13,3782,7365,241,1305,1103
CA14,10410,13382,547,3062,2248
CA15,4694,6134,282,1341,1035
CA16,1354,2591,85,447,370
CA17,1086,2127,76,343,305
CA18,110,228,11,40,39
CA19,376,794,23,109,93
CA2,13281,13610,835,3536,2396
CA20,594,1295,49,216,240
CA21,166,491,17,67,57
CA22,2379,3434,158,675,578
CA23,563,737,23,141,113
CA24,213,296,16,57,36
CA25,1634,2077,89,430,355
CA26,939,1101,67,271,213
CA27,307,707,26,113,79
CA28,7983,10367,434,2188,1623
CA3,3657,6483,214,1126,936
CA4,2388,5720,145,812,803
CA5,4632,9038,284,1436,1378
CA6,2830,5179,206,863,684
CA7,2148,3351,131,592,517
CA8,1249,2174,152,477,402
CA9,544,875,36,176,128
CB1,34304,25626,959,4211,2555
CB10,4307,7889,312,1422,938
CB11,3764,7620,281,1177,922
CB2,19278,17884,637,2767,1849
CB23,8907,16212,582,2351,1338
CB24,9108,15300,624,2455,1594
CB25,4841,8325,336,1427,1033
CB3,8059,5434,151,708,520
CB4,18127,12889,640,2867,1644
CB5,4537,2928,150,697,304
CB6,10087,17841,695,3096,2133
CB7,7147,10416,509,2173,1344
CB8,10632,13171,652,3164,1668
CB9,8837,12546,659,2689,1526
CF1,29300,14042,994,3329,1732
CF10,2136,678,48,133,83
CF11,3324,1878,127,470,156
CF14,25525,30180,995,5262,4109
CF15,4695,8354,277,1361,954
CF2,40270,19939,987,4093,2774
CF23,4745,5699,282,1106,609
CF24,1809,739,47,192,57
CF3,14572,13741,794,3409,2079
CF31,13216,17949,850,4117,2398
CF32,9442,11907,565,2781,1901
CF33,4799,5657,282,1397,882
CF34,6002,7062,281,1581,1301
CF35,6007,7966,355,1407,966
CF36,3626,6737,216,1502,1428
CF37,14603,12749,653,3140,2110
CF38,6020,8878,331,1641,1153
CF39,9626,10331,506,2389,1790
CF4,186,164,8,43,17
CF40,6456,6010,305,1456,1169
CF41,3572,3590,224,848,666
CF42,4062,4149,232,1131,883
CF43,3991,3418,210,894,742
CF44,12795,14688,713,3286,2496
CF45,6370,5974,355,1524,1100
CF46,4352,5847,215,1164,963
CF47,7680,7311,428,1793,1284
CF48,8163,8761,471,1972,1569
CF5,21539,20510,1154,4802,3122
CF6,29406,37171,1823,8840,5983
CF61,340,584,22,124,87
CF62,1491,1726,89,315,95
CF63,384,723,19,96,27
CF64,247,388,12,80,39
CF7,7437,13331,447,2406,1788
CF72,824,1303,53,223,54
CF8,22968,26528,1230,6296,4227
CF82,234,407,10,54,19
CF83,3877,5205,220,1080,767
CH1,17465,12264,700,3300,2097
CH2,9591,11980,494,2456,1696
CH25,199,41,16,45,7
CH26,103,126,10,20,14
CH27,235,162,11,51,29
CH28,211,226,14,57,64
CH29,98,133,7,33,84
CH3,8334,16052,489,2632,2178
CH30,136,128,4,31,17
CH31,77,124,7,31,49
CH32,146,92,16,23,12
CH33,102,88,5,37,15
CH34,328,268,26,89,22
CH4,9978,13717,529,2868,1734
CH41,9804,4825,682,2264,1160
CH42,12337,8510,786,2776,1647
CH43,10646,11593,763,2923,2045
CH44,10753,7942,719,2842,1554
CH45,8970,10180,562,2599,1809
CH46,7341,7957,474,2238,1439
CH47,2539,4621,161,816,790
CH48,3419,6780,254,1236,1037
CH49,8391,11088,497,2438,1988
CH5,11988,15656,732,3698,2389
CH6,5697,6519,352,1640,1108
CH60,2677,6847,156,882,1070
CH61,3531,6676,224,1222,1174
CH62,9341,11217,624,2440,1794
CH63,6964,12208,388,1856,1814
CH64,4243,8182,254,1444,1265
CH65,10164,9129,612,2659,1467
CH66,8968,13348,515,2485,2037
CH7,13056,21543,821,4215,3119
CH8,5558,7078,368,1640,1114
CM0,4481,7462,345,1522,1099
CM1,22723,28375,1141,5402,3416
CM11,5366,10049,314,1469,1192
CM12,4420,8511,249,1220,1089
CM13,7659,11128,486,2091,1575
CM14,6891,7579,406,1590,982
CM15,5664,10085,337,1432,1287
CM16,6816,10165,385,1896,1533
CM17,7850,9554,449,2090,1008
CM18,8231,8611,487,2227,1391
CM19,6313,7914,420,1753,1018
CM2,16450,23093,949,4502,2927
CM20,8628,8217,516,2035,1086
CM21,2739,4288,171,847,523
CM22,4812,8278,307,1420,899
CM23,12018,17070,600,2813,1793
CM24,1948,2999,115,579,366
CM3,13208,25239,883,4101,2851
CM4,2067,3949,162,694,618
CM5,2673,4197,143,657,601
CM6,6752,11300,463,2089,1379
CM7,18074,25927,1085,5509,3222
CM8,10437,13107,607,2903,1768
CM9,8592,14172,571,2995,2102
CO1,9118,6317,549,2147,953
CO10,13039,21896,1020,4783,3244
CO11,3596,5855,200,1160,833
CO12,6552,8664,586,2107,1478
CO13,2754,6479,237,1224,1334
CO14,1618,2499,133,715,641
CO15,12926,16220,1093,5070,4241
CO16,6420,9426,493,2268,1780
CO2,13509,12971,855,3021,1323
CO3,8310,12727,493,2578,1733
CO4,17588,17660,952,3798,1953
CO5,6726,12900,470,2342,1937
CO6,6063,12476,392,2172,1680
CO7,7961,15066,549,2914,2084
CO8,312,602,27,125,78
CO9,6888,10644,404,2328,1481
CR0,63759,55181,4006,11536,6274
CR2,23707,33106,1361,4786,3789
CR3,18921,28713,1082,4852,3226
CR4,40098,35791,2605,7184,3843
CR5,484,524,24,72,23
CR6,74,131,2,26,13
CR7,1123,1059,76,248,101
CR8,390,390,18,89,44
CR9,168,94,11,22,7
CT1,15779,8333,555,2098,1198
CT10,6769,11545,540,2480,1930
CT11,9568,8995,828,3283,1630
CT12,5365,6602,407,1685,1034
CT13,2371,4376,210,934,661
CT14,9066,13832,729,3584,2637
CT15,3714,7027,213,1236,905
CT16,7121,7392,569,2247,1402
CT17,5876,5696,423,1566,778
CT18,4124,7523,311,1471,1003
CT19,9292,9877,617,2710,1468
CT2,16228,10213,463,2027,1483
CT20,7281,6657,532,2416,1308
CT21,3793,7035,333,1627,1354
CT3,5169,7528,309,1405,965
CT4,3310,6099,188,1016,795
CT5,8189,14084,560,2954,2318
CT6,10449,15535,737,3593,2759
CT7,2903,5499,233,1251,1149
CT8,2578,2704,207,992,561
CT9,14004,12891,1067,4029,2303
CV1,23045,8060,672,1989,1104
CV10,17700,20702,1219,4753,2834
CV11,11131,16481,724,2937,2219
CV12,9293,12573,665,2672,2206
CV13,2342,5323,171,825,647
CV2,22988,22369,1447,4969,3148
CV21,14252,15314,873,3598,1969
CV22,9136,15047,599,2663,2039
CV23,8761,14827,578,2602,1609
CV3,22372,26407,1183,4520,3644
CV31,14322,12258,560,2346,1392
CV32,10200,12310,414,2331,1780
CV33,5498,8693,363,1491,1013
CV34,10277,13135,589,2728,1609
CV35,5734,12370,419,1903,1432
CV36,2708,5354,200,1078,788
CV37,10731,17887,762,3649,2582
CV4,15652,10066,586,2201,1373
CV5,14274,17615,690,3364,2637
CV6,27888,30366,1858,5914,3747
CV7,5650,9312,390,1637,1341
CV8,6868,12923,419,2146,1795
CV9,5696,7891,408,1770,1186
CW1,15018,16350,931,3916,2403
CW10,4613,7187,296,1438,974
CW11,6886,11644,472,2258,1510
CW12,8658,14595,580,2819,2043
CW2,12856,16172,882,3398,2120
CW3,2464,5366,188,926,752
CW4,2027,4998,101,718,633
CW5,8409,12872,502,2717,1979
CW6,2705,6670,165,928,801
CW7,10666,11917,709,2603,1677
CW8,10432,16619,657,3161,2169
CW9,9297,13863,536,2761,1847
DA1,20654,23798,1343,4533,2490
DA10,3839,3600,216,751,295
DA11,13113,14554,915,2927,1976
DA12,13745,17294,1003,3228,2350
DA13,3269,6977,214,1004,905
DA14,8288,8970,491,1927,1605
DA15,8464,11884,469,1744,1509
DA16,10971,15709,614,2188,1861
DA17,7129,7465,493,1556,924
DA18,2093,1621,199,481,193
DA2,6587,9165,452,1767,1292
DA3,3896,8072,221,1267,1204
DA4,2208,3256,141,654,476
DA5,5302,8738,280,1182,1118
DA6,3395,3978,169,768,641
DA7,8561,14346,515,1941,1941
DA8,11119,10434,789,2465,1331
DA9,4556,4504,280,1004,384
DE1,14066,5523,515,2204,950
DE11,13520,17784,957,4071,2359
DE12,5708,9189,470,1811,1250
DE13,11258,20128,779,3504,2784
DE14,10480,10602,706,2315,1272
DE15,6691,8732,462,1958,1390
DE2,33583,36760,2073,8686,5805
DE21,726,906,26,161,77
DE22,15238,16759,799,3347,2458
DE23,16973,23961,1178,3263,2597
DE24,1727,1765,95,308,97
DE3,4372,8247,232,1169,1096
DE4,10464,20557,774,3871,3158
DE5,20778,31462,1464,6965,4696
DE55,9182,11811,618,2829,1676
DE56,1311,2729,78,418,334
DE6,10560,19169,733,3432,2471
DE65,1552,1929,117,396,67
DE7,33593,45483,2267,9894,6806
DE72,85,148,4,28,3
DE73,1205,1618,76,234,102
DE74,190,243,4,33,8
DE75,66,168,7,23,2
DH1,25831,18234,749,3310,2646
DH2,9287,12799,716,2854,1983
DH3,7020,10111,494,2001,1715
DH4,10094,13531,645,2641,1979
DH5,6135,7140,431,1545,1267
DH6,10421,12406,793,2926,1962
DH7,12122,15234,891,3529,2323
DH8,11360,14992,847,3469,2326
DH9,11325,12673,974,3339,2210
DH98,110,72,7,32,29
DL1,16819,17302,1263,4786,2869
DL10,4695,9827,411,1956,1412
DL11,783,2115,66,318,227
DL12,3175,5756,231,1141,929
DL13,3630,5897,260,1302,1013
DL14,11333,13913,952,3424,2396
DL15,6369,7974,457,1918,1302
DL16,6187,7881,456,1791,1196
DL17,5382,6423,421,1631,1157
DL2,4259,8273,340,1415,1035
DL3,10746,14503,848,3452,2258
DL4,3010,2868,260,840,592
DL5,7490,10060,583,2526,1743
DL6,4659,8491,341,1570,1208
DL7,3078,6083,202,992,788
DL8,3791,8508,278,1464,1314
DL9,4562,4777,395,860,383
DN1,5826,3057,337,1293,451
DN10,3273,6636,230,1322,1002
DN11,8250,11288,659,2674,1876
DN12,7768,8070,577,2038,1481
DN14,13714,20565,894,4162,2839
DN15,11558,14208,740,3258,2177
DN16,9610,10720,624,3009,1960
DN17,9369,13568,679,3122,2107
DN18,3570,5460,256,1310,837
DN19,1419,2777,96,485,370
DN2,7902,8682,550,2215,1342
DN20,4562,8265,344,1680,1359
DN21,10677,14766,916,3677,2304
DN22,10122,14740,714,3525,2362
DN3,7444,12400,517,2734,1951
DN31,5297,3332,390,1525,621
DN32,9251,7117,632,2512,1193
DN33,5962,7655,455,1799,1252
DN34,4947,5563,368,1468,973
DN35,9543,11267,744,3308,2071
DN36,4512,9650,293,1598,1407
DN37,6463,11739,441,2216,1746
DN38,557,1288,40,205,109
DN39,650,1360,51,250,170
DN4,15231,18657,1074,4454,2808
DN40,2949,4115,210,968,743
DN41,82,156,2,18,6
DN5,11973,14960,857,3573,2349
DN6,8700,9993,612,2540,1637
DN7,7515,8088,545,1980,1331
DN8,5411,6824,349,1593,1114
DN9,4456,8958,307,1535,1126
DT1,5594,8806,452,2069,1705
DT10,2550,5801,190,1086,921
DT11,7286,12940,557,2416,1652
DT2,5166,12063,406,2089,1620
DT3,6196,11488,444,2462,1901
DT4,10276,12816,761,4198,2452
DT5,3751,4706,304,1482,717
DT6,5098,9940,411,2184,1708
DT7,1152,2997,116,528,483
DT8,1231,2762,115,536,434
DT9,4822,8682,354,1847,1510
DY1,13138,12737,896,2716,1967
DY10,11678,15124,779,3666,2398
DY11,8660,11863,624,2767,1868
DY12,3110,6564,250,1402,1081
DY13,5343,8820,451,1996,1593
DY14,2168,4461,173,718,532
DY2,10357,10772,646,2049,1567
DY3,10045,14766,626,2542,2576
DY4,15635,15582,1083,3071,2434
DY5,13601,15129,897,3216,2110
DY6,7307,13463,435,2057,2172
DY7,1641,3619,118,582,525
DY8,13225,18911,890,4015,3071
DY9,7162,11435,482,1918,1765
E1,47660,25062,1543,3801,2525
E10,20842,16425,1034,2859,1401
E11,21500,18247,1026,3579,1796
E12,13127,16379,785,1761,1409
E13,19720,18887,1205,3013,1609
E14,49728,29850,1822,4352,1905
E15,28812,15576,1219,3374,1404
E16,26480,16133,1281,3367,1207
E17,42899,32913,2115,6127,2862
E18,6517,7884,354,1191,751
E1W,453,266,10,36,10
E2,25616,11030,847,2281,1172
E20,5003,1416,136,236,33
E3,31101,15779,1054,2697,1397
E4,21395,23820,1257,4403,2928
E5,24229,12292,1296,2959,1355
E6,25342,28745,1454,3817,2424
E7,15741,17884,902,2162,1516
E8,26046,8852,1141,2792,1094
E9,17969,7084,1007,2159,897
EC1A,2020,622,42,134,47
EC1M,1613,579,34,167,51
EC1N,1487,561,59,182,84
EC1R,3282,1294,136,428,146
EC1V,10850,3548,353,1031,373
EC1Y,1962,945,88,243,140
EC2A,778,238,15,61,16
EC2P,238,101,7,30,3
EC2Y,578,657,28,122,76
EC3N,159,60,14,11,1
EC4A,121,50,6,4,0
EC4Y,142,48,1,11,3
EN1,16764,17889,1103,3570,2172
EN10,5446,7678,337,1317,901
EN11,6974,8289,429,1742,1128
EN2,8400,10993,490,2087,1455
EN3,20644,17835,1661,3865,2032
EN4,8573,12614,513,1877,1498
EN5,11890,15324,688,2649,1865
EN6,7997,12327,405,2020,1813
EN7,6283,9176,320,1462,1164
EN8,11853,12122,724,2737,1878
EN9,7295,8203,492,1917,1317
EX1,14079,10040,539,2405,1385
EX10,3881,9013,286,1663,1840
EX11,2062,4490,159,799,565
EX12,2205,4755,199,1066,1018
EX13,3934,7828,307,1551,1221
EX14,5368,9828,433,1985,1504
EX15,5848,10275,464,2000,1254
EX16,8871,14504,684,2929,2154
EX17,5237,9006,402,1684,1216
EX18,952,1995,71,357,275
EX19,826,1953,73,313,223
EX2,14337,16915,811,3982,2268
EX20,5658,10171,452,2030,1434
EX21,938,2233,87,332,294
EX22,2900,5496,208,964,825
EX23,3753,6607,308,1403,1096
EX3,1551,1767,77,416,334
EX31,7848,13703,575,2521,2036
EX32,6479,8524,468,2099,1229
EX33,2455,4973,164,906,753
EX34,4203,5471,317,1602,960
EX35,332,730,24,174,116
EX36,2336,3998,200,833,666
EX37,570,1303,43,207,145
EX38,2167,3806,163,802,616
EX39,9372,15166,770,3811,2530
EX4,27685,15330,796,3731,1961
EX5,5592,9157,390,1784,1012
EX6,3411,6663,248,1305,964
EX7,3530,5848,307,1449,995
EX8,9167,15611,691,3673,2572
EX9,1336,3259,82,586,611
FY0,75,68,12,27,14
FY1,14858,8636,1178,4024,1825
FY2,7467,8433,480,2611,1768
FY3,10410,9452,713,3061,1596
FY4,14228,14539,999,4435,3006
FY5,10934,17821,757,4396,3571
FY6,6468,12776,452,2701,2401
FY7,7883,8329,569,2460,1793
FY8,10566,17989,803,4511,3734
GL1,16637,12544,863,3485,1832
GL10,4877,7014,332,1450,994
GL11,5024,8675,342,1656,1181
GL12,3795,6475,274,1200,697
GL13,1476,2330,88,485,333
GL14,4749,6545,317,1539,951
GL15,6023,9808,402,1930,1336
GL16,3474,5571,250,1282,897
GL17,3008,5823,188,1017,842
GL18,2273,4087,135,766,590
GL19,3325,4976,146,774,639
GL2,15978,23034,978,4395,2276
GL20,7196,12357,446,2494,1643
GL3,8860,14162,538,2821,1905
GL4,12823,17305,772,3702,2216
GL5,9304,12528,606,3052,1751
GL50,12553,8149,441,2293,1319
GL51,15162,17876,873,4170,2712
GL52,13600,19348,710,3776,2525
GL53,4021,8018,217,1282,1048
GL54,5662,11751,400,2153,1564
GL55,1195,2973,77,521,413
GL56,2199,4045,194,824,633
GL6,4843,10066,324,1829,1385
GL7,11284,20578,799,3761,2705
GL8,2236,4034,173,749,534
GL9,359,810,34,125,95
GU1,14635,13237,525,2191,1376
GU10,6673,15130,459,2015,1658
GU11,8739,11621,631,1957,1103
GU12,8709,11854,584,2413,1317
GU13,8759,16501,488,2494,1923
GU14,16070,22441,1056,4312,2442
GU15,13387,21312,785,3359,2369
GU16,5149,9348,316,1578,1071
GU17,8045,15036,470,2532,1764
GU18,1666,3416,91,553,452
GU19,1531,2491,120,518,322
GU2,14530,10600,428,1838,1116
GU20,889,2141,49,325,207
GU21,14069,21747,895,3464,2194
GU22,9727,15433,523,2226,1688
GU23,1802,3523,106,563,383
GU24,5558,7191,285,1019,731
GU25,1421,3174,121,407,345
GU26,2177,3768,139,648,701
GU27,4139,8655,289,1318,961
GU28,1561,3136,115,606,521
GU29,2197,4209,159,908,703
GU3,1945,4130,141,631,590
GU30,2192,4282,185,748,615
GU31,3023,6396,206,1104,940
GU32,2888,4634,243,924,608
GU33,1826,3835,118,635,536
GU34,7921,15015,595,2594,1844
GU35,5776,9094,408,1857,952
GU4,3039,5953,188,896,628
GU47,66,58,8,19,6
GU5,2389,5349,171,765,605
GU51,1378,2373,86,445,92
GU52,410,541,27,87,14
GU6,3745,6844,247,1186,1034
GU7,6620,9828,448,1676,1155
GU8,3415,7447,215,1064,904
GU9,7841,10901,447,1958,1479
HA0,17499,25861,869,2357,2271
HA1,15011,18935,748,2378,1641
HA2,16417,26166,900,2706,2480
HA3,21503,34045,1149,3600,3763
HA4,14963,22544,739,3124,2511
HA5,10129,21325,539,2075,2416
HA6,5318,10520,327,1363,1172
HA7,9524,17579,498,1681,1960
HA8,20138,28863,1239,3628,2862
HA9,19652,21602,966,2428,1869
HD1,14606,11004,712,2348,1466
HD2,8384,9753,553,1930,1292
