outcode,Christian,Buddhist,Hindu,Muslim,Others,None
SE13,19274,582,1298,3004,612,3635
SE14,13299,517,243,2856,445,2651
SE15,31008,687,359,6748,805,4826
SE16,22486,604,837,4817,658,3897
SE17,15242,369,175,4513,420,2259
SE18,38040,2610,5883,10390,2429,5441
SE19,13710,275,435,2101,384,2352
SE2,13110,423,892,2086,575,1526
SE20,10456,195,275,1706,324,1808
SE21,8240,136,376,924,302,1532
SE22,11422,197,264,1490,351,1918
SE23,14529,265,456,1808,553,2667
SE24,8421,211,215,1184,318,1549
SE25,17601,190,510,2854,390,2416
SE26,12362,263,463,2013,365,2140
SE27,9080,129,232,1466,286,1743
SE28,17280,357,499,3064,316,1807
SE3,14321,361,854,1740,657,2365
SE4,9867,223,296,1612,367,2001
SE5,21528,381,248,5167,525,3213
SE6,26145,452,1575,4375,608,3951
SE7,8230,309,930,2050,470,1415
SE8,11150,556,438,2730,339,2164
SE9,30608,526,1331,3119,677,3798
SG1,24025,252,1080,2115,698,3140
SG10,1842,4,12,24,19,163
SG11,4592,15,25,24,74,435
SG12,14333,87,175,270,258,1769
SG13,7854,88,120,184,190,950
SG14,9223,109,79,206,178,1157
SG15,2600,26,56,56,130,311
SG16,3611,25,44,75,126,404
SG17,6574,55,68,47,197,833
SG18,13851,119,261,190,362,1702
SG19,11168,66,85,103,259,1326
SG2,19095,177,467,901,410,2402
SG3,3067,22,17,64,86,343
SG4,13033,163,461,692,961,1827
SG5,13817,94,320,479,794,1761
SG6,14167,231,381,478,1353,2133
SG7,6726,48,110,64,197,924
SG8,18741,153,218,216,347,2324
SG9,6287,20,46,70,100,656
SK1,6483,44,131,670,108,932
SK10,24144,214,255,375,306,2322
SK11,17174,108,165,271,252,1932
SK12,26074,181,89,202,343,2799
SK13,16519,98,46,97,193,1836
SK14,22508,132,244,4646,229,2594
SK15,14004,70,233,683,129,1449
SK16,9046,27,163,519,89,853
SK17,14799,114,25,62,190,1859
SK2,14628,112,162,862,166,1678
SK22,114,0,0,0,2,19
SK23,70,0,0,1,0,10
SK3,11934,74,160,1292,192,1355
SK4,15686,127,312,3012,263,1852
SK5,13413,83,99,1237,170,1539
SK6,25648,147,98,449,297,2595
SK7,22067,155,488,1325,396,2163
SK8,27467,198,895,7240,1362,3069
SK9,20160,183,544,1275,484,2335
SL0,5325,64,887,650,1899,699
SL1,29384,422,5191,24830,8044,4786
SL2,19384,166,2856,15273,6350,2939
SL3,16603,313,5666,8395,7430,2593
SL4,23918,299,825,1638,1341,2840
SL5,12939,83,383,563,569,1521
SL6,38001,488,3223,6063,2932,4823
SL7,10423,87,129,248,223,1305
SL8,3398,28,39,59,109,340
SL9,11498,73,1253,837,1589,1201
SM1,22453,508,3172,3787,463,2962
SM2,13225,226,2535,2861,458,1984
SM3,9560,142,1808,1319,135,1085
SM4,18922,505,2531,4925,318,2431
SM5,18961,329,1850,2054,319,2327
SM6,15422,277,2938,2580,393,2123
SM7,8907,69,392,401,161,926
SN1,19957,270,2326,1582,460,2217
SN10,17289,136,44,198,266,1926
SN11,13255,100,32,125,201,1513
SN12,13570,94,71,162,161,1769
SN13,8783,75,73,72,132,1188
SN14,14315,147,226,224,241,1858
SN15,15573,195,295,198,290,2098
SN16,7765,43,38,73,107,838
SN17,116,6,5,15,3,18
SN2,31864,443,1326,1481,937,3888
SN25,8754,143,381,575,281,1198
SN3,25532,559,1235,1537,762,3091
SN38,390,6,8,96,19,53
SN4,14264,102,193,192,208,1591
SN5,15067,242,562,1011,570,1909
SN6,11263,72,104,120,131,1188
SN7,6955,31,39,87,104,832
SN8,13805,68,57,66,195,1583
SN9,4310,26,5,13,59,465
SO1,49706,656,1797,6507,2928,7751
SO14,4623,54,454,3264,1195,1192
SO15,310,4,35,64,16,53
SO16,5525,153,271,1359,425,1257
SO17,5745,156,325,1234,438,1160
SO18,17609,189,336,962,835,2458
SO19,23729,184,211,856,628,3371
SO20,5405,14,44,27,64,565
SO21,13184,117,196,135,237,1403
SO22,14743,317,382,357,324,2307
SO23,8949,219,178,236,202,1401
SO24,5340,33,12,32,66,656
SO3,46255,267,330,395,562,5066
SO30,1342,8,54,25,40,173
SO31,620,13,16,24,14,69
SO32,524,3,11,16,22,80
SO4,58278,365,198,348,834,6759
SO40,330,5,4,9,11,34
SO41,393,2,0,1,5,57
SO45,68,2,0,1,2,13
SO5,52493,431,1138,1216,1474,6191
SO50,682,5,64,24,41,133
SO51,1303,4,10,12,20,194
SO53,1423,26,96,94,104,152
SP1,12243,143,125,275,181,1509
SP10,20347,267,377,378,344,2443
SP11,16090,174,273,234,261,1901
SP2,15817,139,208,385,272,1832
SP3,7179,36,16,12,79,760
SP4,18817,317,479,256,359,2067
SP5,12392,55,20,67,149,1217
SP6,6876,33,10,17,83,854
SP7,7700,79,12,68,134,1053
SP8,7608,48,15,46,97,905
SP9,4863,273,349,125,161,612
SR1,4686,90,74,1057,144,621
SR2,17353,80,116,1500,214,1540
SR3,20240,49,20,162,228,1507
SR4,19810,94,181,1472,269,1705
SR5,16577,40,37,128,161,1550
SR6,16452,48,60,164,203,1237
SR7,17577,60,16,148,198,1340
SR8,17607,42,41,89,163,1573
SS0,19848,291,702,2252,1378,3012
SS1,13149,189,446,1072,645,1803
SS11,9611,40,99,165,137,1020
SS12,8948,33,102,193,118,957
SS13,10540,50,175,694,188,1210
SS14,12159,88,404,763,233,1520
SS15,15231,114,491,639,277,1693
SS16,13594,112,728,627,256,1702
SS17,16431,88,152,349,226,1699
SS2,14503,183,492,1200,429,2133
SS22,168,0,0,0,1,14
SS3,11742,98,113,402,348,1552
SS4,9814,75,87,116,193,1279
SS5,10819,50,80,111,157,1214
SS6,16518,69,188,150,239,1757
SS7,24034,146,341,478,387,2605
SS8,18655,81,80,225,679,1893
SS9,21556,212,326,566,685,2792
ST1,14166,103,216,7624,290,2040
ST10,17366,42,21,87,105,1360
ST11,6221,14,21,249,80,507
ST12,3524,16,67,72,68,293
ST13,15278,61,51,98,174,1673
ST14,13022,93,34,230,161,1239
ST15,13886,69,94,156,138,1196
ST16,16961,312,664,617,625,2005
ST17,19658,92,376,511,398,2051
ST18,10224,47,47,81,85,854
ST19,9905,15,16,60,154,758
ST2,17970,65,91,464,246,2130
ST20,4802,23,22,18,35,452
ST21,2999,6,7,40,17,263
ST3,32751,183,179,4744,373,3646
ST4,27114,320,650,3843,579,3354
ST5,41258,390,635,1979,626,4859
ST6,29920,145,215,6907,360,3946
ST7,29071,113,61,271,271,2794
ST8,9716,29,15,31,58,1003
ST9,5658,23,10,18,56,477
SW10,9459,161,220,2084,511,1673
SW11,37764,540,972,7040,1160,6287
SW12,14374,177,683,1961,574,2384
SW13,8742,161,308,740,464,1450
SW14,8283,133,193,572,368,1226
SW15,28612,555,910,7056,1095,5197
SW16,37403,441,2589,10962,1247,6026
SW17,23754,392,2924,7682,797,4344
SW18,28905,465,934,5244,849,4473
SW19,34254,735,2614,6442,1155,5667
SW1A,856,30,73,88,72,172
SW1E,991,48,57,252,71,257
SW1H,431,14,14,119,34,117
SW1P,5461,161,191,1993,197,1044
SW1V,9076,229,261,3406,444,1791
SW1W,3455,99,76,965,230,691
SW1X,2940,64,98,437,278,736
SW1Y,73,7,5,23,13,21
SW2,23426,418,294,3853,715,4263
SW20,12749,270,1114,1565,392,2000
SW3,10149,146,214,1465,548,1908
SW4,17636,225,322,2582,543,2871
SW5,7081,271,217,1478,344,1470
SW6,33642,522,667,5622,1016,5657
SW7,5614,163,329,1065,500,1342
SW8,15458,347,314,3692,435,2667
SW9,18450,347,151,3914,560,3153
SY1,13622,90,60,270,250,1804
SY10,12140,48,35,75,128,1347
SY11,13181,62,44,200,133,1437
SY12,5111,26,6,17,40,467
SY13,13074,42,27,50,148,1253
SY14,3411,5,0,8,21,258
SY15,4057,20,12,11,45,613
SY16,7230,39,26,109,127,1123
SY17,1832,19,2,6,38,258
SY18,1970,25,3,23,34,283
SY19,430,5,1,0,7,101
SY2,9532,84,32,101,120,1069
SY20,2819,28,1,18,135,542
SY21,9007,55,6,40,83,1291
SY22,3082,21,5,10,49,425
SY23,12110,130,104,335,360,2410
SY24,2070,26,14,21,37,318
SY25,1477,5,4,0,46,237
SY3,18670,112,179,258,273,2259
SY4,14087,50,24,69,130,1370
SY5,12085,61,28,29,233,1315
SY6,4897,37,5,16,52,506
SY7,5530,22,1,113,69,686
SY8,10243,46,11,41,94,1114
SY9,1015,5,1,5,16,108
TA1,21621,189,306,501,286,2901
TA10,5897,37,16,32,74,741
TA11,4955,20,14,16,70,518
TA12,3269,18,6,32,46,333
TA13,2546,11,0,10,23,288
TA14,1725,6,3,4,24,202
TA15,241,1,0,1,4,34
TA16,1132,4,0,6,11,136
TA17,407,4,1,1,2,34
TA18,5100,25,12,15,72,587
TA19,6868,37,17,17,73,794
TA2,14201,86,70,188,202,1976
TA20,10835,54,11,54,138,1319
TA21,10576,47,17,112,154,1503
TA22,1363,5,2,8,21,178
TA23,3630,21,5,9,67,435
TA24,8947,65,13,26,121,1244
TA3,7051,25,9,16,73,756
TA4,8918,65,7,48,131,1095
TA5,6600,33,8,36,80,771
TA6,25228,123,88,376,328,3445
TA7,7788,27,7,19,112,851
TA8,9328,63,20,86,137,1163
TA9,6122,24,15,63,86,746
TD12,744,1,1,0,14,79
TD15,8349,33,12,69,66,994
TF1,22403,233,324,3524,1079,2773
TF10,12868,64,115,92,250,1471
TF11,7230,37,37,207,158,786
TF12,3460,11,2,14,41,321
TF13,2176,1,5,1,25,151
TF2,18861,105,282,526,1283,2216
TF3,12688,58,441,456,587,1522
TF4,8772,69,111,204,252,914
TF5,2660,10,25,53,114,264
TF6,2103,6,8,19,29,189
TF7,8440,54,51,169,257,1121
TF8,291,2,0,3,3,40
TF9,13897,57,32,182,178,1200
TN1,6764,89,301,468,186,1062
TN10,9107,68,150,227,107,1056
TN11,10121,55,147,171,105,1186
TN12,15596,68,101,161,187,1751
TN13,14378,169,244,359,231,1807
TN14,8469,31,89,123,105,937
TN15,12133,56,102,165,185,1277
TN16,9732,39,52,106,98,1120
TN17,8062,51,22,61,98,1035
TN18,3771,26,8,27,53,485
TN19,3063,12,11,7,41,464
TN2,14123,116,375,658,207,1754
TN20,2467,16,16,10,27,253
TN21,8077,45,22,51,133,973
TN22,13065,78,58,146,174,1541
TN23,19824,732,1494,1062,1033,2722
TN24,16342,452,1010,778,449,1881
TN25,8435,40,133,175,106,934
TN26,7204,33,42,46,81,876
TN27,6098,43,24,41,66,601
TN28,4930,13,18,35,61,519
TN29,6210,39,12,43,85,628
TN3,8573,45,73,96,85,868
TN30,5304,36,21,33,73,521
TN31,7356,42,26,39,94,887
TN32,2420,12,4,10,21,291
TN33,6322,31,27,54,75,807
TN34,13414,196,168,541,415,2274
TN35,6940,84,23,126,164,1100
TN36,1213,13,1,2,15,162
TN37,8273,163,149,620,234,1433
TN38,9158,155,132,510,268,1599
TN39,14269,105,61,252,236,1985
TN4,12454,130,304,513,199,1553
TN40,7902,68,71,131,141,947
TN5,4282,30,3,7,45,516
TN6,12354,84,67,155,510,1545
TN7,977,12,1,8,27,124
TN8,6090,44,50,75,80,683
TN9,6690,83,418,292,105,929
TQ1,17758,167,69,270,284,2520
TQ10,1818,36,2,7,71,328
TQ11,2138,43,0,2,99,389
TQ12,28298,192,60,230,461,3752
TQ13,9434,122,8,31,211,1365
TQ14,9441,91,10,53,134,1257
TQ2,15672,134,89,247,235,2010
TQ3,15944,113,38,141,365,2134
TQ4,10322,72,26,62,125,1196
TQ5,9690,71,15,70,184,1093
TQ6,4211,40,11,95,63,510
TQ7,8727,51,9,40,123,1203
TQ8,852,5,0,8,14,85
TQ9,6390,247,31,53,340,1288
TR1,10649,108,115,269,227,1440
TR10,5917,74,16,62,163,1257
TR11,12553,123,53,140,316,2285
TR12,4661,44,6,17,90,620
TR13,9689,50,6,31,164,1310
TR14,12941,113,14,70,254,2210
TR15,9692,58,19,56,245,1546
TR16,6890,53,11,19,114,939
TR17,1106,10,0,3,28,146
TR18,8875,120,13,51,257,1501
TR19,4246,70,3,18,135,629
TR2,4969,28,5,4,59,713
TR20,3661,24,3,14,62,522
TR21,750,3,1,0,6,99
TR22,78,0,0,0,0,0
TR24,70,0,0,0,2,16
TR25,71,0,0,0,0,11
TR26,5284,68,9,25,90,673
TR27,6067,43,11,36,89,1055
TR3,5925,49,13,15,96,690
TR4,4768,35,9,13,95,721
TR5,1567,23,1,4,36,258
TR6,1539,7,5,22,26,255
TR7,9606,114,28,46,192,1643
TR8,4470,30,6,8,90,614
TR9,3206,18,1,16,57,497
TS1,7251,189,922,5862,204,1343
TS10,19583,83,43,297,170,2095
TS11,6529,23,4,31,55,589
TS12,12027,58,16,51,104,1352
TS13,5397,20,12,13,71,538
TS14,10739,36,18,54,75,915
TS15,8582,74,160,292,83,659
TS16,6259,32,50,204,59,570
TS17,24303,111,320,2066,540,2203
TS18,12850,122,92,3095,161,1917
TS19,17578,80,49,534,214,1646
TS2,425,1,1,7,8,50
TS20,10578,40,19,218,103,1054
TS21,7210,27,20,47,39,595
TS22,6706,31,125,201,135,493
TS23,13914,48,17,127,152,1417
TS24,12199,57,68,291,121,1324
TS25,20813,66,47,336,165,2033
TS26,12310,53,69,526,131,1162
TS27,6017,11,11,21,77,532
TS28,3041,8,3,10,18,233
TS29,3258,4,11,10,17,266
TS3,13124,73,136,750,140,1672
TS4,8838,46,125,2066,143,1017
TS5,17549,57,138,5362,390,1798
TS6,15087,54,45,465,111,1464
TS7,13367,37,75,524,142,1180
TS8,9989,44,39,156,94,1062
TS9,7412,28,6,30,51,606
TW1,13813,221,464,1185,618,2213
TW10,9028,189,406,1055,428,1710
TW11,11123,156,294,650,341,1597
TW12,10908,166,502,867,500,1510
TW13,17236,694,3084,5750,1512,2421
TW14,14016,782,3202,5191,2254,1931
TW15,16234,175,1313,1260,1135,1738
TW16,11308,162,867,942,441,1306
TW17,7447,67,158,211,152,792
TW18,13544,123,1393,809,675,1562
TW19,8033,203,1092,1285,1755,1039
TW2,14252,240,1209,1733,939,1926
TW20,10681,153,801,966,675,2231
TW3,19254,811,8841,10377,5330,2964
TW4,10810,466,3601,6102,4410,1447
TW5,8346,273,3760,7104,8279,1538
TW6,819,26,116,301,197,87
TW7,16364,393,3261,6297,2363,2714
TW8,10917,247,814,4005,660,1818
TW9,8912,211,416,879,453,1650
UB1,10231,238,7710,12363,12634,2054
UB10,17100,325,4278,4976,3506,2380
UB11,553,21,266,358,159,51
UB18,83,1,41,77,276,18
UB2,8210,138,4102,8447,12636,1497
UB3,16337,596,5920,12460,10577,2554
UB4,12554,234,6460,8023,8154,1974
UB5,20471,823,5396,10900,2157,3084
UB6,21217,567,5924,10036,2292,3282
UB7,14689,321,2613,5414,1967,2015
UB8,14906,351,2141,5408,1848,2809
UB9,6817,57,616,460,447,816
W1,47,1,6,11,7,22
W10,16105,325,179,9105,602,3085
W11,14486,376,213,4261,862,3259
W12,22335,463,562,8616,873,4113
W13,16157,326,1323,4953,1264,2856
W14,15705,368,490,4245,700,3266
W1A,3919,122,310,1042,462,976
W1B,221,1,12,31,49,75
W1C,371,2,114,159,28,81
W1D,380,58,17,214,18,85
W1G,462,9,22,72,71,125
W1H,1852,110,189,574,306,554
W1J,81,1,3,23,15,20
W1K,94,0,53,24,62,26
W1M,529,16,21,248,51,115
W1N,104,7,9,22,12,69
W1P,920,55,102,481,111,400
W2,14708,638,798,8764,1209,4280
W3,22168,833,1039,11994,1062,4832
W4,19622,447,807,2992,1023,3548
W5,19374,637,1542,5114,1397,3651
W6,13431,404,501,2966,464,2602
W7,12804,254,939,4307,825,1856
W8,7167,183,222,947,640,1591
W9,12462,339,472,6608,1123,2985
WA1,14656,58,255,511,152,1333
WA10,26463,126,151,293,177,2016
WA11,26252,105,71,229,131,1819
WA12,14694,50,59,280,138,1231
WA13,7861,55,75,140,100,712
WA14,16125,177,1314,1921,1026,1804
WA15,21233,156,944,2982,1496,2014
WA16,12411,56,177,175,156,1183
WA2,22689,95,140,751,236,2291
WA3,28867,147,145,442,295,2433
WA4,29376,151,294,707,331,2750
WA5,34167,168,673,1513,473,2895
WA6,11005,68,22,85,91,975
WA7,32450,147,130,327,273,2828
WA8,41023,149,199,366,268,2962
WA9,29202,141,181,389,235,2409
WC1A,834,50,56,380,57,222
WC1B,233,10,12,54,18,52
WC1E,335,9,32,43,25,87
WC1H,1897,140,150,1553,157,752
WC1N,1348,68,52,1073,87,403
WC1R,88,3,10,24,5,25
WC1V,125,6,9,56,5,32
WC1X,1173,29,62,678,102,328
WC2A,121,4,5,52,10,24
WC2B,544,31,1,110,52,113
WC2E,249,10,8,61,10,75
WC2H,215,11,10,120,19,101
WD1,35124,821,7339,9429,2337,4792
WD17,225,1,57,56,4,38
WD18,158,7,78,88,11,43
WD19,169,1,34,15,99,45
WD2,34566,554,5903,6104,6876,4838
WD23,39,0,14,5,103,26
WD24,111,1,59,23,9,13
WD25,490,12,230,65,48,47
WD3,19963,189,2628,1117,1376,2389
WD4,5459,43,183,158,203,645
WD5,5363,35,260,207,142,530
WD6,16995,268,1592,1642,8638,2692
WD7,4041,67,471,213,3398,792
WF1,19155,125,449,6628,292,2472
WF10,23969,131,111,281,319,2872
WF11,8658,29,29,82,85,1013
WF12,13600,79,90,12890,199,2251
WF13,6758,46,88,17260,144,1741
WF14,10597,43,61,586,167,1043
WF15,8544,42,82,1167,105,954
WF16,3406,16,26,3796,48,607
WF17,12282,54,120,16020,176,1916
WF2,25255,154,352,2967,393,2986
WF3,15377,74,173,311,328,1726
WF4,21373,62,103,339,265,2153
WF5,10164,40,27,166,115,1027
WF6,11669,36,55,142,124,1071
WF7,12322,47,33,116,107,1246
WF8,18779,91,54,200,143,1810
WF9,19542,65,39,265,171,2150
WN1,15227,85,143,560,105,1093
WN2,33955,133,140,578,228,2551
WN3,19824,57,66,330,93,1318
WN4,18297,55,33,117,83,1248
WN5,28661,97,80,472,148,2043
WN6,27050,94,153,388,178,1858
WN7,28854,148,142,1018,237,2413
WN8,25957,85,102,215,260,2521
WR1,5911,75,77,603,156,878
WR10,12699,51,16,32,116,1125
WR11,27489,127,43,417,397,2700
WR12,3506,14,5,13,31,291
WR13,7153,37,17,43,97,866
WR14,15318,164,90,220,265,2081
WR15,4147,16,2,5,51,433
WR2,17175,106,78,336,196,2117
WR3,12548,82,74,453,133,1241
WR4,12877,82,148,822,126,1609
WR5,15775,113,124,2182,193,1785
WR6,4993,21,12,23,33,473
WR7,3069,11,1,7,27,286
WR8,4004,21,3,15,53,458
WR9,17010,63,83,139,282,1695
WS1,8358,47,1080,13300,2534,1871
WS10,22263,100,1005,5819,2717,2723
WS11,24887,131,77,195,418,2400
WS12,17835,69,40,91,330,1570
WS13,16045,104,119,230,315,1524
WS14,9335,45,70,225,191,844
WS15,20159,68,72,123,253,1805
WS2,15775,60,898,9824,2328,2302
WS3,27835,79,197,986,930,2908
WS4,8674,33,249,913,1036,890
WS5,7071,76,1179,2709,4468,916
WS6,9133,21,24,31,175,769
WS7,16094,46,47,46,236,1551
WS8,8716,34,75,198,280,915
WS9,14020,42,190,266,738,1261
WV1,9685,75,882,2481,2226,1602
WV10,30247,182,1034,3322,4301,3774
WV11,17959,84,454,351,3278,1841
WV12,12092,44,173,371,1901,1178
WV13,8587,33,565,472,3607,1010
WV14,22549,129,1500,1051,4768,2545
WV15,5789,39,9,12,61,514
WV16,10237,40,16,31,116,953
WV2,6795,135,1723,1245,5675,986
WV3,13253,177,1600,1894,4137,1559
WV4,12756,92,1614,725,6776,1431
WV5,8232,33,46,15,122,682
WV6,20865,131,1149,3939,3847,2264
WV7,3437,21,34,14,196,311
WV8,8360,47,90,210,456,703
WV9,3652,30,68,90,306,322
YO1,19940,432,555,1124,610,4750
YO10,114,21,3,19,14,94
YO11,14225,120,53,268,176,1821
YO12,19444,116,65,304,196,2263
YO13,5250,18,20,50,38,542
YO14,6197,27,4,15,56,704
YO15,9460,49,22,94,124,1081
YO16,11281,40,15,110,103,1451
YO17,14299,54,10,104,121,1451
YO18,6392,22,9,21,56,701
YO19,4332,15,23,17,46,446
YO2,30236,237,170,334,478,3871
YO21,8459,53,8,56,88,896
YO22,3881,20,1,16,43,423
YO23,748,1,6,0,8,51
YO24,244,1,3,0,4,32
YO25,18216,69,25,89,136,1912
YO26,4565,57,34,39,45,481
YO3,36931,340,303,991,590,4993
YO30,1426,11,4,11,14,168
YO31,202,4,4,19,10,29
YO4,21521,146,32,223,204,2362
YO42,390,0,0,7,4,36
YO43,417,0,1,0,1,52
YO5,3218,13,11,21,25,324
YO6,17621,83,28,40,162,1761
YO61,198,0,0,0,0,8
YO7,11172,58,24,40,100,1193
YO8,25231,96,49,148,262,2610
