outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
NR35,1458.0,-,1095,995,1733,-,4.69
NR4,1827.0,425,1092,1420,1724,2297,4.75
NR5,1512.0,636,1700,1354,1659,2326,5.61
NR6,1568.0,1050,1194,1238,2513,2408,5.94
NR7,1502.0,-,1062,1328,1782,2973,5.03
NR8,1399.0,750,1000,1750,1593,-,4.17
NR9,1525.0,800,1500,1325,1805,2595,3.76
NW1,4541.0,2776,4200,5766,6607,10710,2.57
NW10,2591.0,1764,2307,3141,4156,6682,4.93
NW11,4283.0,1626,2404,4456,5085,7595,3.78
NW2,2568.0,1764,2371,3307,4282,7568,4.0
NW3,6121.0,2829,4896,6699,8773,13411,3.12
NW4,2547.0,1648,2018,2852,4376,5273,4.08
NW5,4380.0,2329,3277,4150,7950,5496,5.74
NW6,3411.0,2176,2830,4385,6364,8549,4.33
NW7,3797.0,1598,2461,3291,10873,9442,4.33
NW8,7051.0,2975,4323,6230,9515,10946,3.64
NW9,2230.0,1685,2114,2814,4201,5677,5.35
OL1,903.0,848,873,1154,-,-,4.32
OL10,1179.0,-,785,1135,1548,-,4.23
OL11,1090.0,724,948,1036,1645,1800,4.15
OL12,962.0,756,815,1079,1300,-,4.05
OL13,1085.0,620,738,750,1498,2750,4.65
OL14,918.0,760,1016,875,1200,-,2.93
OL15,953.0,650,810,1025,-,1400,2.88
OL16,1036.0,831,1145,1163,1495,-,4.49
OL2,989.0,691,900,1123,2000,-,4.01
OL3,1130.0,825,948,1488,1400,-,2.75
OL4,933.0,749,906,1348,-,-,3.12
OL5,866.0,625,947,-,-,-,3.64
OL6,1099.0,754,889,1283,2500,1800,4.7
OL7,1045.0,-,900,-,2000,-,5.74
OL8,949.0,658,888,950,-,1895,5.25
OL9,1074.0,-,965,1115,1210,600,5.06
OX1,3086.0,1971,3129,4425,3949,5480,3.84
OX10,2146.0,1175,1655,2463,2381,2900,3.25
OX11,1701.0,1013,1496,1692,2441,-,4.32
OX12,1712.0,1125,1359,1706,2171,3500,4.4
OX13,1945.0,1190,1450,1675,3067,-,3.53
OX14,1562.0,1071,1379,1738,2475,-,3.74
OX15,2953.0,-,2340,1517,3150,4000,5.95
OX16,1427.0,802,1181,1432,2194,3050,5.42
OX17,2033.0,847,1250,1711,2833,5500,3.5
OX18,3360.0,1146,1280,2339,3100,13000,6.62
OX2,3313.0,1655,2323,3801,4556,6034,3.76
OX20,4187.0,1225,2400,3700,7214,-,7.0
OX25,2397.0,1073,1525,3050,2500,4500,5.13
OX26,1701.0,1162,1295,1597,2517,2713,4.78
OX27,1703.0,1300,1225,1588,1950,2950,3.77
OX28,1288.0,1218,1255,1616,-,-,4.05
OX29,2873.0,1373,2513,1648,2167,5750,5.37
OX3,2369.0,1362,2113,2425,3467,4923,5.32
OX33,2280.0,1420,1367,2000,2150,6700,3.72
OX39,3600.0,-,-,1400,-,-,5.99
OX4,2511.0,1623,2017,3299,3782,3384,5.94
OX44,2309.0,-,1843,1600,2475,5950,3.69
OX49,2463.0,-,-,2175,-,5000,4.02
OX5,1824.0,1278,1939,2003,2680,-,3.45
OX7,2477.0,1216,2031,2076,5233,3750,4.24
OX9,2217.0,1000,1406,1749,3567,-,4.46
PE1,979.0,788,1106,1252,1450,2500,4.86
PE10,1140.0,750,833,1166,1507,-,4.22
PE11,770.0,624,827,934,-,1400,3.37
PE12,786.0,602,763,920,1475,-,2.03
PE13,839.0,649,806,951,1467,1500,3.71
PE14,1058.0,710,795,950,1200,3250,3.85
PE15,1171.0,650,893,1164,1643,2500,4.25
PE16,1100.0,750,950,-,-,-,4.15
PE19,1537.0,850,1261,1583,1846,1725,4.12
PE2,968.0,730,1074,1165,1543,2200,4.35
PE20,985.0,-,825,950,1325,-,4.26
PE21,713.0,547,743,884,1533,-,3.98
PE22,988.0,-,850,938,1600,-,3.58
PE23,648.0,-,648,-,-,-,2.48
PE24,778.0,-,763,875,-,-,3.26
PE25,604.0,517,710,795,-,-,2.96
PE26,1186.0,1148,-,1300,-,-,4.3
PE27,1397.0,892,1208,1411,2065,2800,4.46
PE28,1640.0,905,1289,1532,2026,2480,3.65
PE29,1291.0,952,1113,1408,1812,2100,4.82
PE3,1221.0,850,1107,1227,1877,1250,4.53
PE30,863.0,685,846,1099,1500,-,3.88
PE31,1284.0,678,944,1299,1940,-,2.99
PE32,1109.0,-,900,1161,-,-,3.16
PE33,2643.0,3301,2491,2744,1633,-,8.85
PE34,1249.0,-,995,1250,1500,-,4.51
PE36,1490.0,650,825,1325,2088,1600,4.6
PE37,2206.0,-,867,1165,1575,-,7.57
PE38,1029.0,700,775,992,1410,1650,3.8
PE4,1142.0,825,987,1248,2000,-,5.12
PE5,823.0,495,-,1150,-,-,1.83
PE6,1192.0,650,924,1097,1472,3000,3.69
PE7,1317.0,716,911,1248,1877,2813,4.72
PE8,1594.0,913,1174,1417,2220,2498,3.98
PE9,1635.0,1340,1171,1414,1898,2866,4.01
PL1,992.0,787,1136,1029,2915,1038,4.61
PL10,,-,-,-,-,-,
PL11,1543.0,-,815,-,-,3000,4.13
PL12,1272.0,700,1100,1200,1761,-,3.84
PL13,1100.0,-,-,1150,1500,-,3.83
PL14,1019.0,-,764,1183,-,1800,3.46
PL15,1356.0,562,992,1058,2100,-,3.98
PL16,800.0,550,700,1150,-,-,2.32
PL17,1129.0,850,788,1068,-,2400,3.65
PL18,849.0,700,848,888,-,-,2.45
PL19,1382.0,-,1005,1286,1650,-,3.46
PL2,830.0,628,969,1100,1300,-,4.94
PL20,1275.0,-,-,1050,1500,-,2.59
PL21,1299.0,-,1283,1350,-,-,3.82
PL22,1174.0,948,1115,1175,1800,-,3.34
PL23,1100.0,-,1025,-,1250,-,1.84
PL24,1015.0,-,1000,1023,-,-,4.09
PL25,945.0,613,1306,1100,-,-,3.22
PL26,1223.0,572,981,1000,3200,-,3.57
PL27,1323.0,625,1092,1317,1675,-,1.99
PL28,,-,-,-,-,-,
PL29,1763.0,-,900,1250,2963,-,3.27
PL3,1167.0,-,1039,1299,1189,1848,4.23
PL30,1344.0,-,1050,1288,2750,-,3.11
PL31,703.0,596,800,-,1300,-,3.05
PL32,1225.0,-,-,1225,-,-,4.38
PL34,1600.0,-,-,1550,1650,-,4.42
PL35,,-,-,-,-,-,
PL4,1315.0,687,1106,899,1059,1479,6.69
PL5,796.0,550,-,1300,-,-,3.91
PL6,1672.0,-,950,1217,1500,-,5.91
PL7,985.0,-,982,1142,-,-,3.47
PL8,1013.0,875,-,1150,-,-,1.55
PL9,1831.0,-,1100,1228,1400,-,5.96
PO1,1615.0,1034,1874,1530,1822,2535,5.77
PO10,1828.0,1095,1211,1570,4950,3500,3.73
PO11,1583.0,836,1073,1592,2450,4175,4.5
PO12,1123.0,866,1206,1359,-,1900,4.14
PO13,1205.0,960,1140,1425,-,-,3.96
PO14,1626.0,1100,1254,1508,2167,-,3.86
PO15,1491.0,-,1213,1624,1783,-,4.02
PO16,1629.0,-,1213,1463,2100,-,5.23
PO17,1864.0,850,1225,1500,2750,-,4.46
PO18,2452.0,1150,1415,1898,3033,3750,3.75
PO19,1442.0,1072,1340,1763,2770,2168,3.76
PO2,995.0,872,1190,1416,1450,570,4.85
PO20,1724.0,795,1324,1674,2889,5950,3.64
PO21,1404.0,946,1149,1442,1886,1950,4.2
PO22,1394.0,950,1201,1300,2567,-,3.47
PO3,1135.0,735,1170,1483,-,-,4.9
PO30,1120.0,-,997,1189,1200,1600,3.36
PO31,1300.0,1075,1238,1549,1475,1750,3.25
PO32,914.0,700,930,1050,-,-,3.73
PO33,1038.0,788,1130,1108,1300,-,3.44
PO34,1579.0,813,975,1200,2375,2500,3.48
PO35,1358.0,550,1150,1400,1823,-,3.05
PO36,1004.0,855,964,1258,1350,-,3.9
PO37,951.0,-,918,1100,-,-,2.81
PO38,1313.0,825,906,1443,1800,2800,3.91
PO39,875.0,-,875,-,-,-,2.62
PO4,1535.0,785,1230,1513,1762,2183,5.87
PO40,1075.0,-,1075,-,-,-,3.03
PO41,1473.0,-,1995,950,-,-,3.02
PO5,1657.0,893,1261,1394,2158,2564,5.84
PO6,1372.0,633,1391,1485,1800,3500,3.82
PO7,1294.0,1077,1136,1541,2750,-,3.48
PO8,1338.0,925,950,1507,2200,-,3.6
PO9,1169.0,824,1287,1420,-,-,3.12
PR1,1228.0,726,1000,1144,1524,1832,7.36
PR2,1117.0,652,818,1042,1495,1848,5.21
PR25,1152.0,1355,905,1066,1448,2500,4.94
PR26,1331.0,-,875,-,-,1483,4.61
PR3,1150.0,778,776,1159,1504,1625,3.96
PR4,1208.0,904,872,1074,1710,-,4.08
PR5,1184.0,673,708,1088,2033,3000,5.53
PR6,1058.0,517,1063,1067,1448,1850,3.13
PR7,868.0,670,787,1066,1800,-,3.01
PR8,963.0,637,923,1201,2300,-,3.25
PR9,824.0,629,800,1236,1400,-,3.99
RG1,1681.0,1407,1927,2961,2143,2750,5.04
RG10,4230.0,1108,1832,2008,3375,6500,4.49
RG12,1963.0,1402,1890,2669,2691,3167,5.95
RG14,1616.0,1167,1557,1833,2617,3083,4.51
RG17,2300.0,832,1246,1890,2000,3075,3.81
RG18,1300.0,920,1383,2950,-,-,2.38
RG19,1848.0,3040,1100,1400,1775,2000,4.59
RG2,1539.0,1230,1646,1924,2439,2350,4.58
RG20,2941.0,773,1667,2250,3333,3250,4.19
RG21,1639.0,1426,1599,2099,1600,2100,7.23
RG22,1481.0,950,1267,1567,2400,-,4.68
RG23,1774.0,1155,2020,1700,2000,2895,4.22
RG24,1371.0,929,1316,1550,2000,2730,3.62
RG25,1720.0,988,1495,1925,3000,-,1.02
RG26,2006.0,1074,1375,2503,2475,3200,4.05
RG27,2192.0,1920,1664,-,2200,3363,4.38
RG28,,-,-,-,-,-,
RG29,2448.0,-,1473,1795,2500,5000,3.93
RG30,1272.0,1055,1522,1689,2179,4000,3.93
RG31,1742.0,1046,1289,1663,2816,2417,4.08
RG4,1658.0,913,1478,1784,2734,-,2.76
RG40,2380.0,2319,2190,2278,2800,5500,4.44
RG41,1941.0,1048,1948,1864,2461,-,4.1
RG42,2548.0,1535,2116,2500,2650,5449,4.08
RG45,2410.0,2725,1367,2133,2532,2600,4.5
RG5,1719.0,1150,1392,2036,2299,-,4.57
RG6,1581.0,1027,1449,1858,2268,-,3.5
RG7,2821.0,1050,1374,1954,2889,3875,4.95
RG8,2583.0,1145,-,2073,3200,2600,3.58
RG9,3036.0,2480,2481,2597,5510,5250,3.51
RH1,1923.0,1335,1841,3071,2439,-,4.66
RH10,1670.0,1030,1590,1836,2420,2550,4.19
RH11,1447.0,1296,1564,1842,3125,1950,4.36
RH12,1776.0,1137,1455,1955,4800,3500,3.82
RH13,3141.0,2475,2197,2049,3598,10833,5.65
RH14,2394.0,983,2217,1750,2100,6950,3.91
RH15,1657.0,1031,1299,2020,2598,2975,4.35
RH16,1859.0,1019,1396,1762,2445,4650,4.06
RH17,3311.0,-,1399,2183,2725,6875,4.36
RH18,2660.0,-,-,2200,-,4500,5.56
RH19,1713.0,1387,1670,1700,2450,4600,3.29
RH2,1859.0,1286,1760,2025,2583,4500,3.52
RH20,3250.0,-,-,-,2575,8000,5.68
RH3,1758.0,530,-,-,-,-,2.69
RH4,1650.0,1849,1407,2017,2500,2750,3.14
RH5,3540.0,1300,1600,3125,3911,3850,5.39
RH6,1777.0,1113,1458,1970,2838,3000,4.3
RH7,2354.0,-,1675,2488,-,2425,4.5
RH8,2495.0,1200,2250,2800,2583,-,3.27
RH9,1800.0,1500,-,2100,-,-,3.43
RM1,1835.0,1418,1823,2206,2475,3510,5.56
RM10,1949.0,1343,1908,2177,2542,-,6.84
RM11,2485.0,1747,1658,2182,3233,3300,3.08
RM12,1866.0,1460,1633,2091,-,2999,4.51
RM13,1895.0,1359,1822,2263,2533,3363,5.53
RM14,1666.0,1700,1521,1889,2750,-,2.85
RM15,1544.0,1200,1200,1916,2200,-,4.58
RM16,2135.0,-,1425,2216,2300,3943,5.24
RM17,1471.0,1250,1369,1795,2350,-,5.27
RM18,1490.0,1100,1655,1657,1883,-,5.34
RM19,1349.0,1093,1480,1767,-,-,6.48
RM2,2071.0,1200,1686,2243,2690,-,4.49
RM20,1783.0,1250,1412,1625,-,3500,7.6
RM3,1896.0,1356,1622,2247,2350,-,5.55
RM4,3980.0,1599,-,2479,2313,5500,5.1
RM5,1704.0,1425,1400,2220,2750,-,4.32
RM6,1769.0,1079,1620,2200,2563,2849,5.75
RM7,1893.0,1345,1815,2075,2756,4340,5.7
RM8,1888.0,1431,1820,2249,2719,2650,6.25
RM9,1825.0,1412,1869,2181,2733,2973,5.95
S1,945.0,882,1192,1426,454,845,7.96
S10,932.0,607,1065,1250,1305,1105,2.06
S11,1005.0,804,1275,1378,1155,813,2.69
S12,1217.0,-,-,1013,1625,-,6.48
S13,1326.0,700,1353,994,-,4800,8.16
S14,700.0,700,-,700,-,-,5.51
S17,1178.0,735,1125,1255,2250,1700,2.36
S18,1628.0,-,795,1242,2083,-,4.29
S2,956.0,676,1184,1102,1422,1706,6.62
S20,893.0,695,831,1042,-,-,4.49
S21,972.0,-,749,900,-,-,3.36
S25,734.0,569,696,731,1300,-,3.03
S26,964.0,565,663,899,1300,-,3.57
S3,956.0,814,1154,1593,1737,1167,7.93
S32,1670.0,-,900,1000,3500,1950,3.31
S33,1317.0,-,1034,1600,-,-,2.82
S35,1013.0,750,801,1075,1467,1650,3.53
S36,823.0,-,693,958,-,-,2.7
S4,767.0,650,800,-,-,1050,6.87
S40,956.0,707,830,985,-,-,3.77
S41,833.0,638,758,1058,925,2000,3.7
S42,988.0,703,898,1029,1225,-,3.57
S43,809.0,550,752,944,-,-,3.4
S44,947.0,645,742,935,1600,-,3.49
S45,970.0,600,828,1111,1350,-,2.92
S5,862.0,390,853,993,1300,-,6.51
S6,1028.0,877,1186,1220,1546,1400,4.41
S60,963.0,548,941,1033,1550,1400,4.16
S61,756.0,625,789,879,-,-,3.87
S62,670.0,573,644,848,-,-,3.47
S63,767.0,399,676,845,1163,-,4.44
S64,697.0,460,618,735,1325,950,4.14
S65,800.0,595,649,835,1450,1400,3.38
S66,830.0,560,716,924,1150,-,3.56
S7,1119.0,783,898,1533,1408,1413,4.07
S70,745.0,668,831,816,904,1175,4.37
S71,707.0,525,638,843,917,-,3.59
S72,786.0,600,678,887,1295,-,3.4
S73,674.0,529,679,819,-,-,3.49
S74,764.0,-,662,900,-,-,3.74
S75,952.0,642,734,977,1667,-,3.11
S8,1094.0,755,830,1313,1375,2300,4.35
S80,811.0,534,627,1520,-,495,3.44
S81,1081.0,-,726,985,1588,-,4.03
S9,795.0,-,850,996,-,-,6.08
SA1,1161.0,803,1233,1272,1346,1651,7.95
SA10,1051.0,750,800,1060,2200,-,4.94
SA11,843.0,591,763,878,1300,-,4.98
SA12,959.0,-,833,884,1620,-,5.36
SA13,779.0,-,798,789,875,-,4.63
SA14,831.0,775,695,895,-,-,3.66
SA15,777.0,475,754,872,850,-,3.77
SA16,832.0,595,-,950,-,-,3.37
SA17,935.0,-,-,880,1050,-,3.59
SA18,862.0,575,725,874,1350,-,3.92
SA19,808.0,-,650,950,825,-,2.32
SA2,1161.0,759,1306,1255,1862,720,3.91
SA20,,-,-,-,-,-,
SA3,1412.0,817,1199,1450,1700,4500,3.79
SA31,829.0,723,807,944,1200,1000,3.46
SA32,939.0,-,950,995,1150,-,2.5
SA33,1107.0,-,650,1125,950,-,3.54
SA34,842.0,-,-,863,800,-,2.21
SA37,700.0,-,700,-,-,-,1.44
SA38,800.0,-,600,1000,-,-,2.88
SA39,,-,-,-,-,-,
SA4,1005.0,700,852,1122,1400,-,3.95
SA40,625.0,-,625,-,-,-,1.75
SA41,888.0,-,-,888,-,-,2.95
SA42,1250.0,-,-,1250,-,-,2.82
SA43,673.0,650,695,-,-,-,2.02
SA44,875.0,-,-,875,-,-,2.6
SA45,1100.0,-,1100,-,-,-,3.81
SA46,925.0,-,-,950,-,900,3.39
SA48,671.0,495,648,-,-,-,2.06
SA5,960.0,-,1005,900,-,-,4.75
SA6,897.0,763,829,1062,1650,-,4.03
SA61,751.0,475,706,845,-,1250,3.55
SA62,1789.0,-,723,930,6500,-,5.18
SA63,,-,-,-,-,-,
SA64,995.0,-,-,995,-,-,3.75
SA65,875.0,-,-,875,-,-,3.38
SA66,,-,-,-,-,-,
SA67,1008.0,795,-,1013,1200,-,2.92
SA68,775.0,-,775,-,-,-,2.49
SA69,,-,-,-,-,-,
SA7,923.0,700,852,1010,-,-,4.29
SA70,1469.0,-,1483,1525,-,1200,4.58
SA71,911.0,550,777,1100,1400,-,3.05
SA72,6050.0,-,-,-,-,-,31.81
SA73,671.0,738,767,-,825,-,2.9
SA8,975.0,-,725,1100,1100,-,4.38
SA9,775.0,-,725,925,-,-,3.68
SE1,3807.0,2933,4075,5224,5676,5519,4.15
SE10,2450.0,1974,2647,3096,4011,5065,5.2
SE11,3253.0,2727,3271,3722,4458,5371,4.57
SE12,1986.0,1443,1896,2406,3183,3013,4.46
SE13,2139.0,1577,2185,2547,3450,4423,4.79
SE14,2399.0,1700,2236,2687,3558,4115,5.85
SE15,2819.0,1810,2365,3520,3860,4154,5.89
SE16,2569.0,1983,2707,3214,3950,5583,5.18
SE17,3077.0,2620,3138,3619,3723,4350,6.28
SE18,2177.0,1721,2300,2637,3837,3456,5.59
SE19,1848.0,1529,1958,2293,2850,4500,3.97
SE2,1732.0,967,2056,2097,2250,-,5.48
SE20,1554.0,1355,1682,1800,5000,-,4.32
SE21,3272.0,1775,2100,2839,3725,6921,4.37
SE22,2959.0,2147,2279,3134,4841,5025,4.94
SE23,2326.0,1697,2113,2881,3671,3350,4.62
SE24,2855.0,1874,2344,3038,4016,9925,4.45
SE25,1888.0,1335,1726,2359,2805,4817,5.92
SE26,2739.0,1340,2243,3039,6867,-,5.86
SE27,2393.0,1527,2129,2847,3363,-,4.65
SE28,1837.0,1418,2005,2392,2600,-,6.37
SE3,2572.0,1716,2263,2958,3510,4682,4.69
SE4,2152.0,1538,1947,2795,3299,3850,4.0
SE5,2705.0,1920,2763,3087,4362,5088,4.74
SE6,2278.0,1602,2224,2925,4748,3200,5.87
SE7,2083.0,1586,1918,2452,3183,-,4.99
SE8,2219.0,1798,2326,2830,3816,4100,5.83
SE9,2205.0,1521,1879,2357,2860,5176,5.21
SG1,1476.0,976,1541,1774,2622,2900,4.54
SG10,2500.0,-,-,-,2500,-,1.6
SG11,2425.0,-,-,2050,2800,-,3.95
SG12,1887.0,1080,1644,1900,2500,4000,3.56
SG13,3760.0,2533,1700,2000,5971,9500,6.56
SG14,2001.0,1120,1609,2050,3117,4500,3.31
SG15,1595.0,-,-,-,1595,-,5.14
SG16,1499.0,995,1100,1450,-,2450,3.52
SG17,1659.0,750,927,1550,1788,2275,3.82
SG18,1473.0,895,1142,1813,1900,-,3.68
SG19,1135.0,749,900,1349,1695,-,2.62
SG2,1681.0,1021,1519,1811,2788,3250,4.18
SG3,2453.0,1405,2479,-,2483,-,4.88
SG4,1621.0,1297,1528,1750,3600,-,3.07
SG5,1765.0,1150,1371,1728,3575,-,3.81
SG6,1419.0,1117,-,1800,2383,-,3.76
SG7,1930.0,950,1178,1495,3225,-,4.7
SG8,1451.0,1253,1233,1375,2000,2500,2.87
SG9,1965.0,1353,2068,2100,2300,2250,3.47
SK1,961.0,846,1070,1250,-,-,6.36
SK10,2586.0,1967,1289,1750,3413,8250,4.03
SK11,1316.0,710,1117,1328,2538,-,3.24
SK12,1594.0,-,1217,1775,3500,-,3.4
SK13,1341.0,762,867,1229,1600,-,4.59
SK14,944.0,700,928,1132,1600,-,3.67
SK15,996.0,823,883,1300,2000,-,3.22
SK16,998.0,675,944,1310,-,-,4.56
SK17,1215.0,1416,865,1017,1675,-,3.92
SK2,1425.0,-,1080,1340,2200,3670,4.88
SK22,1125.0,-,950,1300,-,-,3.24
SK23,1110.0,685,893,1150,-,3000,3.04
SK3,1270.0,1038,1320,1413,-,-,5.49
SK4,1158.0,1017,1064,1544,1998,1600,3.43
SK5,1019.0,777,1030,1289,2000,-,4.24
SK6,1500.0,1665,1138,1708,1698,-,4.32
SK7,1573.0,838,1067,1642,2075,3350,3.24
SK8,1854.0,996,1559,1822,2510,-,5.12
SK9,3007.0,2087,1585,2440,4160,4660,4.97
SL0,1952.0,1275,1450,1805,2398,3800,2.86
SL1,1707.0,1339,1744,2301,2263,3050,5.46
SL2,2291.0,1534,1976,2535,2517,5975,3.54
SL3,2185.0,1403,1699,2111,2980,4748,3.99
SL4,3159.0,1523,2316,3079,4372,6441,5.36
SL5,6477.0,1788,2821,4209,5979,5466,6.73
SL6,2344.0,1944,1884,2525,3325,5518,3.62
SL7,2709.0,1100,2168,2737,3383,3774,2.64
SL8,2450.0,1150,-,2883,-,-,2.72
SL9,3422.0,1531,2574,2755,3394,4945,3.46
SM1,1981.0,1444,1946,2370,2723,4750,5.81
SM2,1957.0,1459,1768,2325,2713,2833,4.46
SM3,2227.0,1416,1700,2430,2450,-,5.31
SM4,1927.0,1165,1750,2717,3150,3200,4.61
SM5,2135.0,1210,1708,2143,3155,4200,5.01
SM6,1850.0,1483,2091,2125,3200,-,5.26
SM7,2438.0,1342,1700,2790,2900,4167,4.31
SN1,1218.0,1007,1423,1811,1500,595,5.72
SN10,1295.0,867,832,1300,1617,3000,3.45
SN11,1850.0,-,1025,1411,1700,2700,5.9
SN12,1246.0,813,1356,1225,1500,-,3.79
SN13,1438.0,-,1350,1475,-,-,2.54
SN14,2173.0,-,1133,1436,2138,2475,4.25
SN15,1170.0,753,1035,1240,2225,-,3.26
SN16,1659.0,-,2000,1564,-,-,3.38
SN2,1166.0,744,1157,1260,1512,1797,5.47
SN25,1286.0,796,991,1433,1734,1700,4.62
SN26,,-,-,-,-,-,
SN3,1504.0,1865,1275,1427,1799,-,5.3
SN4,2006.0,860,1140,1386,2333,4170,4.0
SN5,1238.0,833,1019,1975,1667,2500,4.12
SN6,1172.0,926,1128,1380,1795,-,1.54
SN7,1745.0,1082,1800,1600,-,3000,4.17
SN8,1728.0,1850,1450,1717,2230,2825,3.36
